index,condition,Estimate,ci_low,ci_high,SE,DF,time
0,Hit,2.074,0.857,3.291,0.617,191.022,-2.6577441406249998
1,Miss,0.917,-0.044,1.877,0.482,75.477,-2.6577441406249998
2,FTI,2.775,1.175,4.376,0.815,585.757,-2.6577441406249998
3,RP,0.465,-0.263,1.194,0.353,23.757,-2.6577441406249998
0,Hit,2.3,1.121,3.478,0.598,225.976,-2.6477441406249995
1,Miss,0.98,0.064,1.896,0.461,85.892,-2.6477441406249995
2,FTI,2.631,1.063,4.199,0.799,725.352,-2.6477441406249995
3,RP,0.37,-0.303,1.043,0.327,24.582,-2.6477441406249995
0,Hit,2.09,0.921,3.258,0.593,223.974,-2.6377441406249997
1,Miss,1.101,0.192,2.01,0.457,85.389,-2.6377441406249997
2,FTI,2.924,1.371,4.477,0.791,715.851,-2.6377441406249997
3,RP,0.324,-0.346,0.994,0.325,24.623,-2.6377441406249997
0,Hit,1.53,0.359,2.701,0.594,214.897,-2.6277441406249995
1,Miss,1.019,0.105,1.934,0.46,82.579,-2.6277441406249995
2,FTI,2.97,1.418,4.523,0.791,680.472,-2.6277441406249995
3,RP,0.386,-0.293,1.065,0.329,24.313,-2.6277441406249995
0,Hit,1.347,0.176,2.519,0.594,217.496,-2.6177441406249997
1,Miss,0.878,-0.036,1.791,0.459,83.289,-2.6177441406249997
2,FTI,2.777,1.222,4.331,0.792,691.826,-2.6177441406249997
3,RP,0.337,-0.339,1.013,0.328,24.314,-2.6177441406249997
0,Hit,1.397,0.239,2.555,0.588,235.848,-2.6077441406249995
1,Miss,0.853,-0.043,1.75,0.451,88.827,-2.6077441406249995
2,FTI,2.934,1.388,4.479,0.787,766.321,-2.6077441406249995
3,RP,0.235,-0.419,0.888,0.317,24.797,-2.6077441406249995
0,Hit,1.61,0.45,2.769,0.588,225.371,-2.5977441406249997
1,Miss,0.862,-0.038,1.763,0.453,85.565,-2.5977441406249997
2,FTI,3.221,1.679,4.764,0.786,724.964,-2.5977441406249997
3,RP,0.313,-0.348,0.975,0.321,24.431,-2.5977441406249997
0,Hit,1.883,0.717,3.048,0.591,211.067,-2.5877441406249995
