channel,betas,pvals,tstat,time,frequency
P1,0.017046206489255446,0.560695087859699,0.5818832655259192,-0.5,25.820512820512818
C3,-0.10163105639020271,0.364725109720786,-0.9065553411457267,-0.5,25.820512820512818
Cz,-0.044534017315337744,0.3368841616353727,-0.9605155432850778,-0.5,26.83333333333333
F1,-0.008389102177685008,0.9517571476276017,-0.060506113257190554,-0.5,26.83333333333333
P1,0.00835591538385737,0.7547544494107251,0.312408981322199,-0.5,26.83333333333333
C3,-0.09085433023100706,0.3667679787912481,-0.9026997939692479,-0.5,26.83333333333333
Cz,-0.030238773424892583,0.4088023840207279,-0.8261352149730214,-0.5,27.84615384615385
F1,0.004305525500445334,0.9722014143797119,0.034850731112047624,-0.5,27.84615384615385
P1,0.001084712161793385,0.9646722768342035,0.044295423808979176,-0.5,27.84615384615385
C3,-0.08219543420226795,0.3462841385478501,-0.9419903830223023,-0.5,27.84615384615385
Cz,-0.016768000953132953,0.5665969140780074,-0.5731429932436339,-0.5,28.85897435897436
F1,0.01195544704585325,0.9130956451247147,0.10914521533173686,-0.5,28.85897435897436
P1,-0.0035945948954346696,0.8705348343244144,-0.1629950546094284,-0.5,28.85897435897436
C3,-0.07206629105968845,0.3298684128394035,-0.9745596447036672,-0.5,28.85897435897436
Cz,-0.005937993542042916,0.8022564226363852,-0.25045325877666125,-0.5,29.871794871794872
F1,0.011896795766168845,0.9007475791436008,0.12472907225481397,-0.5,29.871794871794872
P1,-0.005409850680314461,0.7792648128689882,-0.28030594200006437,-0.5,29.871794871794872
C3,-0.061602254986846905,0.31786311522009214,-0.999048547649442,-0.5,29.871794871794872
Cz,0.0003805512130002438,0.9840692720889139,0.019969433214310328,-0.5,30.884615384615387
F1,0.0038292241778653726,0.9622725531359072,0.04730648506435049,-0.5,30.884615384615387
P1,-0.005198210810189106,0.7501189646290034,-0.3185158166854548,-0.5,30.884615384615387
C3,-0.05195530441571591,0.305389872369607,-1.0251433018265463,-0.5,30.884615384615387
Cz,0.0023683437673214245,0.8738400397223696,0.15879823186235428,-0.5,31.897435897435894
F1,-0.008727224193480466,0.8964111741937459,-0.13020882497415942,-0.5,31.897435897435894
P1,-0.004154844043611984,0.7545296798800002,-0.31270484945286375,-0.5,31.897435897435894
C3,-0.041945357079059754,0.30159411541508346,-1.0332239332812432,-0.5,31.897435897435894
Cz,0.002000432535229738,0.8596916076445877,0.1767840849340441,-0.5,32.91025641025641
F1,-0.019798135190187475,0.7138213325910976,-0.3667683456931657,-0.5,32.91025641025641
P1,-0.0030966119019094763,0.7656132393807059,-0.2981486523850917,-0.5,32.91025641025641
C3,-0.030220598529367287,0.3289247167299544,-0.9764633164997074,-0.5,32.91025641025641
Cz,0.0012426721137736188,0.8820690775702366,0.1483612232945197,-0.5,33.92307692307692
F1,-0.025058822429831224,0.5487612096871265,-0.5996949626810052,-0.5,33.92307692307692
P1,-0.002331048167940718,0.7650086417684436,-0.2989410241301388,-0.5,33.92307692307692
C3,-0.017703520097578238,0.4270009044590949,-0.7944573538832495,-0.5,33.92307692307692
Cz,0.0008596841252634609,0.8873407164229453,0.14168368420382924,-0.5,34.93589743589744
F1,-0.024329531627105955,0.4319317498003784,-0.7860111634034221,-0.5,34.93589743589744
P1,-0.001848305164761676,0.7428956620908567,-0.328055669198604,-0.5,34.93589743589744
C3,-0.007085431952802334,0.6498657524868263,-0.4540007478375452,-0.5,34.93589743589744
Cz,0.0006583594035696902,0.8774482119764389,0.15421986518732822,-0.5,35.94871794871795
F1,-0.020124247232011554,0.3649934593117262,-0.9060479248597945,-0.5,35.94871794871795
P1,-0.001516957129802426,0.6989483556437281,-0.3867826927259603,-0.5,35.94871794871795
C3,-0.0005183865877583434,0.9628471996403106,-0.0465854075595707,-0.5,35.94871794871795
Cz,0.0003457789829059024,0.904360005341843,0.1201670376183709,-0.5,36.96153846153846
F1,-0.014820679460187001,0.34318439383136845,-0.9480630840680664,-0.5,36.96153846153846
P1,-0.0012213983291919188,0.6437499235344493,-0.4625154915013062,-0.5,36.96153846153846
C3,0.0018481882188114626,0.820210668321891,0.227296746874209,-0.5,36.96153846153846
Cz,-3.7894053771006406e-05,0.9835725181040282,-0.020592207561659776,-0.5,37.97435897435897
F1,-0.009601981540932801,0.36987839199198747,-0.8968548644138004,-0.5,37.97435897435897
P1,-0.0009199658839101386,0.595731298112022,-0.5306136391887739,-0.5,37.97435897435897
C3,0.00153663866009153,0.7930355921803603,0.2623974401055963,-0.5,37.97435897435897
Cz,-0.00028599430631870426,0.7995995946047084,-0.25389101508150713,-0.5,38.987179487179496
F1,-0.005049741357295564,0.46808889927264097,-0.7256972667282555,-0.5,38.987179487179496
P1,-0.0006251282002794248,0.5732863310019223,-0.5632886193538925,-0.5,38.987179487179496
C3,0.00043588301507040616,0.913530849094045,0.10859646060104611,-0.5,38.987179487179496
Cz,-0.00031181814152995426,0.6457291792783775,-0.45975624573122975,-0.5,40.0
F1,-0.0016432012570234663,0.6962726421440206,-0.39039965514879205,-0.5,40.0
P1,-0.0003651453657049041,0.5931402499121716,-0.534356165036029,-0.5,40.0
C3,-0.0002788240468174661,0.9146582188668642,-0.10717512525653713,-0.5,40.0
Cz,0.7056065096076798,0.11409249819458736,1.5805859093541434,-0.45,0.5
F1,0.4818952483118135,0.5489750910097957,0.5993735808596864,-0.45,0.5
P1,0.7939824407355858,0.03979123006566024,2.0569283871212005,-0.45,0.5
C3,1.525774319952914,0.008468585727423282,2.634780609964268,-0.45,0.5
Cz,0.34946940120046427,0.007313557913314368,2.6843010301833177,-0.45,1.5128205128205128
F1,0.22823551372480627,0.16753119149583082,1.380559446110835,-0.45,1.5128205128205128
P1,0.02211268405619698,0.9164196469080699,0.10495480749156574,-0.45,1.5128205128205128
C3,0.1859851390786679,0.4015037891684614,0.8390744264521613,-0.45,1.5128205128205128
Cz,0.11883070684929542,0.2195419194460873,1.2280390187468924,-0.45,2.525641025641025
F1,0.21344747766040917,0.06685620175488077,1.8333958220532167,-0.45,2.525641025641025
P1,-0.007029912367600809,0.9720702522762074,-0.035015218509992715,-0.45,2.525641025641025
C3,-0.00576991270182404,0.9675599806625128,-0.04067261536867106,-0.45,2.525641025641025
Cz,-0.04186685761018966,0.7134919181317412,-0.36720992518670725,-0.45,3.5384615384615383
F1,0.028094909897691134,0.8206509380611573,0.22673040027786392,-0.45,3.5384615384615383
P1,-0.03924639028393728,0.8520329838142578,-0.18654337634368048,-0.45,3.5384615384615383
C3,-0.0820321952962015,0.3759243039685173,-0.8855809780327801,-0.45,3.5384615384615383
Cz,-0.06595240381255153,0.6261679562705396,-0.48718469082861526,-0.45,4.55128205128205
F1,-0.10460282190629971,0.5369544697042632,-0.6175057546008645,-0.45,4.55128205128205
P1,0.041909303064621914,0.8062341445911132,0.2453117171938272,-0.45,4.55128205128205
C3,-0.07209995443663737,0.4467811556213731,-0.7609063845228826,-0.45,4.55128205128205
Cz,0.016377461489789694,0.9359135807711886,0.08041464234023946,-0.45,5.564102564102564
F1,-0.3022116005800411,0.2754353818226005,-1.0908571463050363,-0.45,5.564102564102564
P1,0.016172281677804025,0.9393798656438908,0.07605656458737553,-0.45,5.564102564102564
C3,0.05077197217100825,0.7076794647929997,0.3750150294879409,-0.45,5.564102564102564
Cz,0.03472515987879294,0.906066805153258,0.1180124315204992,-0.45,6.5769230769230775
F1,-0.388083242174831,0.27199046659277787,-1.098720314211294,-0.45,6.5769230769230775
P1,0.053929768112136324,0.8756217377745745,0.15653702310974646,-0.45,6.5769230769230775
C3,0.28906986031145376,0.10196128558127854,1.6359893425295504,-0.45,6.5769230769230775
Cz,0.025263519360828598,0.9449732396912107,0.06902716749194886,-0.45,7.589743589743589
F1,-0.2744089759273243,0.4969575014218942,-0.6793789917566263,-0.45,7.589743589743589
P1,-0.00898028549735155,0.9864389351240099,-0.016998708041101214,-0.45,7.589743589743589
C3,0.22533783726112352,0.2651565591013511,1.1145232865737473,-0.45,7.589743589743589
Cz,-0.013801409198809208,0.972240268361249,-0.0348019962062071,-0.45,8.602564102564102
F1,-0.08603152794237623,0.8497008592093567,-0.18951877515875226,-0.45,8.602564102564102
