index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
0,Hit - Miss,0.076,-0.955,1.106,0.39,3298.0,0.194,1.0,,-2.067744140625
1,Hit - FTI,-0.694,-2.168,0.781,0.559,3298.0,-1.242,1.0,,-2.067744140625
2,Hit - RP,0.31,-0.594,1.215,0.343,3298.0,0.905,1.0,,-2.067744140625
3,Miss - FTI,-0.769,-2.117,0.579,0.511,3298.0,-1.507,0.792,,-2.067744140625
4,Miss - RP,0.235,-0.444,0.913,0.257,3298.0,0.913,1.0,,-2.067744140625
5,FTI - RP,1.004,-0.25,2.258,0.475,3298.0,2.113,0.208,,-2.067744140625
0,Hit - Miss,-0.197,-1.235,0.841,0.393,3298.0,-0.501,1.0,,-2.057744140625
1,Hit - FTI,-0.615,-2.101,0.87,0.563,3298.0,-1.094,1.0,,-2.057744140625
2,Hit - RP,0.114,-0.797,1.025,0.345,3298.0,0.329,1.0,,-2.057744140625
3,Miss - FTI,-0.418,-1.776,0.939,0.514,3298.0,-0.814,1.0,,-2.057744140625
4,Miss - RP,0.311,-0.373,0.994,0.259,3298.0,1.2,1.0,,-2.057744140625
5,FTI - RP,0.729,-0.534,1.992,0.479,3298.0,1.524,0.766,,-2.057744140625
0,Hit - Miss,-0.179,-1.239,0.882,0.402,2191.923,-0.445,1.0,,-2.0477441406249994
1,Hit - FTI,-0.22,-1.735,1.295,0.574,2703.713,-0.384,1.0,,-2.0477441406249994
2,Hit - RP,-0.058,-0.992,0.875,0.353,1293.94,-0.165,1.0,,-2.0477441406249994
3,Miss - FTI,-0.042,-1.424,1.341,0.524,3128.462,-0.079,1.0,,-2.0477441406249994
4,Miss - RP,0.12,-0.583,0.824,0.266,736.078,0.453,1.0,,-2.0477441406249994
5,FTI - RP,0.162,-1.124,1.448,0.487,3249.617,0.333,1.0,,-2.0477441406249994
0,Hit - Miss,-0.064,-1.134,1.006,0.405,2427.747,-0.158,1.0,,-2.037744140625
1,Hit - FTI,0.255,-1.272,1.782,0.578,2854.562,0.441,1.0,,-2.037744140625
2,Hit - RP,-0.015,-0.96,0.93,0.358,1542.901,-0.043,1.0,,-2.037744140625
3,Miss - FTI,0.319,-1.073,1.711,0.527,3172.573,0.605,1.0,,-2.037744140625
4,Miss - RP,0.049,-0.666,0.763,0.27,901.123,0.18,1.0,,-2.037744140625
5,FTI - RP,-0.27,-1.564,1.023,0.49,3269.215,-0.552,1.0,,-2.037744140625
0,Hit - Miss,0.078,-0.982,1.139,0.402,2226.919,0.194,1.0,,-2.027744140625
1,Hit - FTI,0.409,-1.107,1.924,0.574,2726.754,0.712,1.0,,-2.027744140625
2,Hit - RP,-0.032,-0.966,0.902,0.353,1331.567,-0.09,1.0,,-2.027744140625
3,Miss - FTI,0.33,-1.053,1.714,0.524,3135.954,0.631,1.0,,-2.027744140625
4,Miss - RP,-0.11,-0.813,0.594,0.266,763.385,-0.413,1.0,,-2.027744140625
5,FTI - RP,-0.44,-1.726,0.846,0.487,3251.936,-0.904,1.0,,-2.027744140625
0,Hit - Miss,0.003,-1.088,1.094,0.413,3298.0,0.008,1.0,,-2.017744140625
1,Hit - FTI,-0.029,-1.59,1.532,0.591,3298.0,-0.049,1.0,,-2.017744140625
2,Hit - RP,-0.217,-1.174,0.741,0.363,3298.0,-0.598,1.0,,-2.017744140625
3,Miss - FTI,-0.032,-1.459,1.394,0.54,3298.0,-0.059,1.0,,-2.017744140625
4,Miss - RP,-0.22,-0.938,0.498,0.272,3298.0,-0.809,1.0,,-2.017744140625
5,FTI - RP,-0.188,-1.515,1.139,0.503,3298.0,-0.374,1.0,,-2.017744140625
0,Hit - Miss,-0.211,-1.329,0.906,0.423,3298.0,-0.5,1.0,,-2.0077441406249994
1,Hit - FTI,-0.345,-1.944,1.253,0.606,3298.0,-0.57,1.0,,-2.0077441406249994
2,Hit - RP,-0.255,-1.235,0.726,0.371,3298.0,-0.686,1.0,,-2.0077441406249994
3,Miss - FTI,-0.134,-1.595,1.327,0.554,3298.0,-0.242,1.0,,-2.0077441406249994
