index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
5,FTI - RP,2.781,0.853,4.709,0.73,3295.805,3.808,0.001,***,-2.527744140625
0,Hit - Miss,0.711,-0.905,2.328,0.612,3245.56,1.162,1.0,,-2.5177441406249996
1,Hit - FTI,-1.381,-3.675,0.913,0.869,3282.179,-1.589,0.673,,-2.5177441406249996
2,Hit - RP,1.159,-0.288,2.605,0.548,3051.176,2.115,0.207,,-2.5177441406249996
3,Miss - FTI,-2.092,-4.173,-0.011,0.788,3296.401,-2.653,0.048,*,-2.5177441406249996
4,Miss - RP,0.447,-0.665,1.559,0.421,2636.815,1.062,1.0,,-2.5177441406249996
5,FTI - RP,2.539,0.612,4.467,0.73,3295.891,3.479,0.003,**,-2.5177441406249996
0,Hit - Miss,0.894,-0.728,2.516,0.614,3222.033,1.455,0.874,,-2.5077441406249994
1,Hit - FTI,-1.524,-3.826,0.779,0.872,3272.636,-1.747,0.484,,-2.5077441406249994
2,Hit - RP,1.312,-0.138,2.762,0.549,2973.763,2.389,0.102,,-2.5077441406249994
3,Miss - FTI,-2.418,-4.507,-0.328,0.792,3294.278,-3.055,0.014,*,-2.5077441406249994
4,Miss - RP,0.418,-0.696,1.532,0.422,2485.587,0.991,1.0,,-2.5077441406249994
5,FTI - RP,2.836,0.901,4.771,0.733,3296.837,3.869,0.001,***,-2.5077441406249994
0,Hit - Miss,0.799,-0.801,2.398,0.606,3173.05,1.318,1.0,,-2.4977441406249996
1,Hit - FTI,-1.586,-3.859,0.686,0.861,3251.571,-1.843,0.393,,-2.4977441406249996
2,Hit - RP,1.401,-0.027,2.83,0.541,2828.524,2.59,0.058,.,-2.4977441406249996
3,Miss - FTI,-2.385,-4.448,-0.322,0.781,3288.845,-3.052,0.014,*,-2.4977441406249996
4,Miss - RP,0.603,-0.493,1.698,0.415,2233.922,1.453,0.878,,-2.4977441406249996
5,FTI - RP,2.988,1.077,4.899,0.724,3297.803,4.127,0.0,***,-2.4977441406249996
0,Hit - Miss,0.594,-0.994,2.183,0.602,3079.287,0.988,1.0,,-2.487744140625
1,Hit - FTI,-1.287,-3.545,0.97,0.855,3208.681,-1.505,0.794,,-2.487744140625
2,Hit - RP,1.542,0.126,2.958,0.536,2588.741,2.876,0.024,*,-2.487744140625
3,Miss - FTI,-1.882,-3.932,0.169,0.777,3276.748,-2.422,0.093,.,-2.487744140625
4,Miss - RP,0.948,-0.135,2.03,0.41,1885.519,2.311,0.126,,-2.487744140625
5,FTI - RP,2.829,0.928,4.73,0.72,3297.739,3.929,0.001,***,-2.487744140625
0,Hit - Miss,0.808,-0.793,2.41,0.607,3026.804,1.333,1.0,,-2.4777441406249996
1,Hit - FTI,-0.925,-3.201,1.352,0.862,3183.539,-1.072,1.0,,-2.4777441406249996
2,Hit - RP,1.824,0.398,3.25,0.54,2470.786,3.378,0.004,**,-2.4777441406249996
3,Miss - FTI,-1.733,-3.802,0.336,0.784,3269.394,-2.212,0.162,,-2.4777441406249996
4,Miss - RP,1.016,-0.073,2.105,0.412,1737.992,2.464,0.083,.,-2.4777441406249996
5,FTI - RP,2.749,0.831,4.667,0.727,3297.034,3.784,0.001,***,-2.4777441406249996
0,Hit - Miss,1.027,-0.56,2.614,0.601,3034.628,1.709,0.526,,-2.4677441406249994
1,Hit - FTI,-1.014,-3.27,1.242,0.855,3187.171,-1.187,1.0,,-2.4677441406249994
2,Hit - RP,1.888,0.475,3.302,0.535,2489.049,3.528,0.003,**,-2.4677441406249994
3,Miss - FTI,-2.041,-4.091,0.009,0.777,3270.398,-2.628,0.052,.,-2.4677441406249994
4,Miss - RP,0.861,-0.218,1.941,0.409,1761.238,2.107,0.212,,-2.4677441406249994
5,FTI - RP,2.903,1.002,4.803,0.72,3297.115,4.031,0.0,***,-2.4677441406249994
0,Hit - Miss,0.907,-0.661,2.475,0.594,3062.25,1.527,0.761,,-2.4577441406249996
1,Hit - FTI,-1.546,-3.775,0.682,0.844,3200.433,-1.832,0.402,,-2.4577441406249996
2,Hit - RP,1.688,0.291,3.085,0.529,2550.707,3.191,0.009,**,-2.4577441406249996
3,Miss - FTI,-2.453,-4.478,-0.429,0.767,3274.278,-3.199,0.008,**,-2.4577441406249996
4,Miss - RP,0.781,-0.287,1.849,0.404,1837.802,1.932,0.321,,-2.4577441406249996
5,FTI - RP,3.234,1.357,5.112,0.711,3297.516,4.549,0.0,***,-2.4577441406249996
0,Hit - Miss,0.74,-0.834,2.314,0.596,3051.157,1.241,1.0,,-2.447744140625
1,Hit - FTI,-1.711,-3.949,0.527,0.848,3195.278,-2.019,0.262,,-2.447744140625
2,Hit - RP,1.573,0.171,2.976,0.531,2524.437,2.962,0.019,*,-2.447744140625
3,Miss - FTI,-2.451,-4.484,-0.418,0.77,3272.834,-3.183,0.009,**,-2.447744140625
4,Miss - RP,0.833,-0.239,1.905,0.406,1803.555,2.053,0.241,,-2.447744140625
5,FTI - RP,3.284,1.399,5.169,0.714,3297.406,4.6,0.0,***,-2.447744140625
0,Hit - Miss,0.657,-0.921,2.236,0.598,3089.197,1.1,1.0,,-2.4377441406249996
1,Hit - FTI,-1.484,-3.727,0.759,0.85,3213.32,-1.746,0.485,,-2.4377441406249996
