index,condition,Estimate,ci_low,ci_high,SE,DF,time
2,FTI,-0.134,-1.02,0.753,0.452,3298.0,-2.437744140625
3,RP,0.26,0.02,0.501,0.123,3298.0,-2.437744140625
0,Hit,0.146,-0.456,0.749,0.307,3298.0,-2.4277441406249998
1,Miss,0.171,-0.253,0.596,0.216,3298.0,-2.4277441406249998
2,FTI,-0.325,-1.19,0.54,0.441,3298.0,-2.4277441406249998
3,RP,0.218,-0.017,0.453,0.12,3298.0,-2.4277441406249998
0,Hit,-0.303,-0.905,0.299,0.306,481.379,-2.4177441406249995
1,Miss,-0.032,-0.458,0.394,0.216,188.475,-2.4177441406249995
2,FTI,-0.198,-1.06,0.664,0.44,2185.035,-2.4177441406249995
3,RP,0.135,-0.108,0.378,0.12,36.278,-2.4177441406249995
0,Hit,-0.191,-0.813,0.431,0.316,468.099,-2.407744140625
1,Miss,-0.03,-0.479,0.42,0.228,171.723,-2.407744140625
2,FTI,-0.276,-1.15,0.598,0.445,1863.792,-2.407744140625
3,RP,0.097,-0.177,0.37,0.135,34.136,-2.407744140625
0,Hit,0.216,-0.403,0.835,0.315,454.745,-2.3977441406249995
1,Miss,0.094,-0.357,0.545,0.228,164.833,-2.3977441406249995
2,FTI,-0.334,-1.198,0.53,0.44,1732.124,-2.3977441406249995
3,RP,0.091,-0.19,0.373,0.139,33.691,-2.3977441406249995
0,Hit,0.301,-0.314,0.917,0.313,453.271,-2.3877441406249997
1,Miss,0.178,-0.272,0.628,0.228,164.027,-2.3877441406249997
2,FTI,-0.075,-0.932,0.782,0.437,1695.854,-2.3877441406249997
3,RP,0.041,-0.242,0.324,0.139,33.917,-2.3877441406249997
0,Hit,0.361,-0.239,0.961,0.305,505.421,-2.3777441406249995
1,Miss,0.21,-0.22,0.64,0.218,189.983,-2.3777441406249995
2,FTI,0.083,-0.766,0.932,0.433,2039.948,-2.3777441406249995
3,RP,-0.0,-0.256,0.255,0.126,37.184,-2.3777441406249995
0,Hit,0.451,-0.13,1.031,0.296,3298.0,-2.367744140625
1,Miss,0.29,-0.119,0.699,0.208,3298.0,-2.367744140625
2,FTI,0.207,-0.627,1.04,0.425,3298.0,-2.367744140625
3,RP,0.029,-0.197,0.256,0.115,3298.0,-2.367744140625
0,Hit,0.262,-0.31,0.834,0.291,468.77,-2.357744140625
1,Miss,0.311,-0.093,0.716,0.205,183.873,-2.357744140625
2,FTI,0.275,-0.545,1.095,0.418,2176.911,-2.357744140625
3,RP,0.005,-0.225,0.236,0.114,35.34,-2.357744140625
0,Hit,0.115,-0.444,0.673,0.285,3298.0,-2.347744140625
1,Miss,0.192,-0.202,0.585,0.201,3298.0,-2.347744140625
2,FTI,-0.046,-0.848,0.756,0.409,3298.0,-2.347744140625
3,RP,-0.032,-0.249,0.186,0.111,3298.0,-2.347744140625
0,Hit,0.172,-0.372,0.717,0.278,3298.0,-2.3377441406249995
1,Miss,0.092,-0.292,0.475,0.196,3298.0,-2.3377441406249995
2,FTI,-0.361,-1.143,0.421,0.399,3298.0,-2.3377441406249995
3,RP,0.086,-0.127,0.298,0.108,3298.0,-2.3377441406249995
0,Hit,0.213,-0.341,0.768,0.283,3298.0,-2.327744140625
1,Miss,0.094,-0.297,0.485,0.199,3298.0,-2.327744140625
2,FTI,-0.436,-1.233,0.36,0.406,3298.0,-2.327744140625
3,RP,0.203,-0.014,0.419,0.11,3298.0,-2.327744140625
0,Hit,0.28,-0.281,0.841,0.286,3298.0,-2.317744140625
1,Miss,0.15,-0.245,0.545,0.202,3298.0,-2.317744140625
2,FTI,-0.55,-1.356,0.256,0.411,3298.0,-2.317744140625
3,RP,0.123,-0.096,0.342,0.112,3298.0,-2.317744140625
0,Hit,0.139,-0.422,0.7,0.286,3298.0,-2.307744140625
1,Miss,0.069,-0.326,0.464,0.201,3298.0,-2.307744140625
2,FTI,-0.634,-1.439,0.171,0.411,3298.0,-2.307744140625
3,RP,-0.034,-0.252,0.185,0.112,3298.0,-2.307744140625
0,Hit,-0.098,-0.659,0.463,0.286,466.93,-2.2977441406249994
1,Miss,-0.023,-0.421,0.375,0.202,180.83,-2.2977441406249994
2,FTI,-0.647,-1.449,0.155,0.409,2131.886,-2.2977441406249994
3,RP,-0.118,-0.347,0.111,0.113,34.767,-2.2977441406249994
0,Hit,-0.022,-0.588,0.544,0.288,465.914,-2.287744140625
1,Miss,0.096,-0.308,0.5,0.205,175.663,-2.287744140625
2,FTI,-0.605,-1.408,0.199,0.41,2023.729,-2.287744140625
3,RP,-0.122,-0.36,0.115,0.117,33.995,-2.287744140625
0,Hit,-0.028,-0.604,0.549,0.293,468.291,-2.277744140625
1,Miss,0.107,-0.308,0.522,0.21,172.797,-2.277744140625
2,FTI,-0.2,-1.012,0.612,0.414,1907.494,-2.277744140625
3,RP,-0.07,-0.32,0.18,0.123,34.037,-2.277744140625
0,Hit,-0.24,-0.819,0.339,0.295,490.934,-2.267744140625
1,Miss,-0.107,-0.521,0.307,0.21,185.329,-2.267744140625
2,FTI,0.367,-0.454,1.188,0.419,2051.354,-2.267744140625
3,RP,-0.037,-0.281,0.207,0.12,36.039,-2.267744140625
0,Hit,-0.245,-0.813,0.323,0.29,3298.0,-2.2577441406249994
1,Miss,-0.201,-0.601,0.199,0.204,3298.0,-2.2577441406249994
2,FTI,0.503,-0.313,1.318,0.416,3298.0,-2.2577441406249994
3,RP,-0.069,-0.29,0.153,0.113,3298.0,-2.2577441406249994
0,Hit,-0.193,-0.747,0.362,0.283,3298.0,-2.247744140625
1,Miss,-0.221,-0.612,0.17,0.199,3298.0,-2.247744140625
2,FTI,0.116,-0.68,0.913,0.406,3298.0,-2.247744140625
3,RP,-0.079,-0.295,0.137,0.11,3298.0,-2.247744140625
0,Hit,-0.271,-0.832,0.29,0.285,445.964,-2.237744140625
1,Miss,-0.432,-0.832,-0.033,0.202,169.176,-2.237744140625
2,FTI,-0.343,-1.141,0.455,0.407,2029.586,-2.237744140625
3,RP,-0.021,-0.254,0.212,0.114,32.546,-2.237744140625
0,Hit,-0.186,-0.752,0.379,0.288,478.887,-2.227744140625
1,Miss,-0.559,-0.965,-0.154,0.205,179.133,-2.227744140625
2,FTI,-0.487,-1.288,0.313,0.408,1995.812,-2.227744140625
3,RP,0.051,-0.19,0.292,0.119,34.933,-2.227744140625
0,Hit,0.102,-0.45,0.654,0.282,3298.0,-2.217744140625
1,Miss,-0.434,-0.823,-0.045,0.198,3298.0,-2.217744140625
2,FTI,-0.279,-1.072,0.514,0.404,3298.0,-2.217744140625
