condition,isprobe,isfti,wait_times,probe_times,fti_time,subject,brief,event_times
FTI,1,1,,4.134907000232488,0.06814259989187121,33707,False,4.134907000232488
RP,0,0,3.945215600077063,,,33707,True,3.945215600077063
RP,0,0,4.29250010009855,,,33707,True,4.29250010009855
RP,0,0,4.606172400061041,,,33707,False,4.606172400061041
RP,0,0,3.3718056003563106,,,33707,True,3.3718056003563106
RP,0,0,4.670702200382948,,,33707,False,4.670702200382948
Hit,1,0,,5.515283900313079,,33707,False,5.515283900313079
Miss,1,0,,2.8065134999342263,,33707,False,2.8065134999342263
Hit,1,0,,3.3580721002072096,,33707,False,3.3580721002072096
RP,0,0,4.334640400018543,,,33707,True,4.334640400018543
Unsure,1,0,,3.9911857997067273,,33707,False,3.9911857997067273
RP,0,0,4.079823799896985,,,33707,True,4.079823799896985
RP,0,0,5.684835800435394,,,33707,False,5.684835800435394
Miss,1,0,,4.410413899924606,,33707,False,4.410413899924606
RP,0,0,4.271696799900383,,,33707,True,4.271696799900383
Miss,1,0,,2.9887961000204086,,33707,False,2.9887961000204086
RP,0,0,4.770490099675953,,,33707,False,4.770490099675953
Miss,1,0,,4.86911949981004,,33707,False,4.86911949981004
Miss,1,0,,3.5377952000126243,,33707,False,3.5377952000126243
RP,0,0,4.92050619982183,,,33707,False,4.92050619982183
RP,0,0,4.836340800393373,,,33707,False,4.836340800393373
Hit,1,0,,4.3240873999893665,,33707,False,4.3240873999893665
Hit,1,0,,3.1252454998902977,,33707,False,3.1252454998902977
RP,0,0,4.043007300235331,,,33707,True,4.043007300235331
Miss,1,0,,2.9542347001843154,,33707,False,2.9542347001843154
RP,0,0,4.952215200290084,,,33707,False,4.952215200290084
Hit,1,0,,4.480909500271082,,33707,False,4.480909500271082
Miss,1,0,,2.896859799977392,,33707,False,2.896859799977392
RP,0,0,3.9760532998479903,,,33707,True,3.9760532998479903
Hit,1,0,,4.3939637998119,,33707,False,4.3939637998119
Miss,1,0,,3.70637910021469,,33707,False,3.70637910021469
RP,0,0,3.8244993002153933,,,33707,True,3.8244993002153933
Hit,1,0,,3.523063300177455,,33707,False,3.523063300177455
RP,0,0,4.275611599907279,,,33707,True,4.275611599907279
RP,0,0,4.344173700083047,,,33707,False,4.344173700083047
Hit,1,0,,4.372962799854577,,33707,False,4.372962799854577
RP,0,0,4.896550999954343,,,33707,False,4.896550999954343
RP,0,0,3.9571079998277128,,,33707,True,3.9571079998277128
RP,0,0,4.463659300003201,,,33707,False,4.463659300003201
Miss,1,0,,4.379168000072241,,33707,False,4.379168000072241
RP,0,0,4.870596099644899,,,33707,False,4.870596099644899
Miss,1,0,,3.5179237998090684,,33707,False,3.5179237998090684
RP,0,0,3.6962624001316726,,,33707,True,3.6962624001316726
Hit,1,0,,3.358290399890393,,33707,False,3.358290399890393
Hit,1,0,,4.423854100052267,,33707,False,4.423854100052267
RP,0,0,4.688027100171894,,,33707,False,4.688027100171894
FTI,1,1,,5.194001600146294,0.06027669971808791,33707,False,5.194001600146294
Miss,1,0,,3.6648372998461127,,33707,False,3.6648372998461127
Miss,1,0,,3.4962170999497175,,33707,False,3.4962170999497175
Hit,1,0,,4.362986799795181,,33707,False,4.362986799795181
RP,0,0,5.401928700041026,,,33707,False,5.401928700041026
FTI,1,1,,4.299362900201231,0.0894223996438086,33707,False,4.299362900201231
RP,0,0,4.072341300081462,,,33707,True,4.072341300081462
RP,0,0,3.7648436003364623,,,33707,True,3.7648436003364623
RP,0,0,3.6955565996468067,,,33707,True,3.6955565996468067
Miss,1,0,,2.984286000020802,,33707,False,2.984286000020802
RP,0,0,3.735172400251031,,,33707,True,3.735172400251031
RP,0,0,4.271933099720627,,,33707,True,4.271933099720627
RP,0,0,4.367302999831736,,,33707,False,4.367302999831736
RP,0,0,4.053976700175554,,,33707,True,4.053976700175554
Hit,1,0,,4.431002099998295,,33707,False,4.431002099998295
RP,0,0,4.03521820018068,,,33707,True,4.03521820018068
RP,0,0,3.7040792000479996,,,33707,True,3.7040792000479996
RP,0,0,3.3614519000111613,,,33708,True,3.3614519000111613
Hit,1,0,,3.6866313999926206,,33708,False,3.6866313999926206
RP,0,0,3.354350300010992,,,33708,True,3.354350300010992
RP,0,0,3.9588939000095706,,,33708,False,3.9588939000095706
RP,0,0,4.253089500009082,,,33708,False,4.253089500009082
RP,0,0,4.102775400009705,,,33708,False,4.102775400009705
Unsure,1,0,,3.4898398000223096,,33708,False,3.4898398000223096
RP,0,0,3.3550282000214793,,,33708,True,3.3550282000214793
Hit,1,0,,3.8464205999916885,,33708,False,3.8464205999916885
FTI,1,1,,3.7827708999975584,0.005482200009282678,33708,False,3.7827708999975584
RP,0,0,4.019664199993713,,,33708,False,4.019664199993713
RP,0,0,4.3120382000051904,,,33708,False,4.3120382000051904
RP,0,0,4.536331400013296,,,33708,False,4.536331400013296
RP,0,0,3.855365900002653,,,33708,False,3.855365900002653
RP,0,0,3.807894199999282,,,33708,False,3.807894199999282
RP,0,0,4.2796416000055615,,,33708,False,4.2796416000055615
RP,0,0,3.648351299983915,,,33708,True,3.648351299983915
RP,0,0,5.807726400002139,,,33708,False,5.807726400002139
RP,0,0,5.471615199989174,,,33708,False,5.471615199989174
RP,0,0,3.2152537999791093,,,33708,True,3.2152537999791093
RP,0,0,2.936444799997844,,,33708,True,2.936444799997844
RP,0,0,4.223962199990638,,,33708,False,4.223962199990638
RP,0,0,3.6713645000127144,,,33708,False,3.6713645000127144
RP,0,0,3.7919266000099014,,,33708,False,3.7919266000099014
Hit,1,0,,4.216039799997816,,33708,False,4.216039799997816
RP,0,0,2.464262699999381,,,33708,True,2.464262699999381
Miss,1,0,,4.189371399988886,,33708,False,4.189371399988886
RP,0,0,4.042036200000439,,,33708,False,4.042036200000439
RP,0,0,4.935037999995984,,,33708,False,4.935037999995984
RP,0,0,5.320143999997526,,,33708,False,5.320143999997526
Hit,1,0,,3.544974299991736,,33708,False,3.544974299991736
Hit,1,0,,3.304778100020485,,33708,False,3.304778100020485
RP,0,0,4.5336296999885235,,,33708,False,4.5336296999885235
Hit,1,0,,4.345832299994072,,33708,False,4.345832299994072
RP,0,0,4.18868079999811,,,33708,False,4.18868079999811
Hit,1,0,,2.6071688000229187,,33708,False,2.6071688000229187
RP,0,0,3.555177399975946,,,33708,True,3.555177399975946
RP,0,0,4.61639290000312,,,33708,False,4.61639290000312
RP,0,0,5.176398999989033,,,33708,False,5.176398999989033
RP,0,0,2.9116240000003017,,,33708,True,2.9116240000003017
RP,0,0,4.258946500020102,,,33708,False,4.258946500020102
RP,0,0,4.208628199994564,,,33708,False,4.208628199994564
Hit,1,0,,3.7447048999893013,,33708,False,3.7447048999893013
RP,0,0,2.947797000000719,,,33708,True,2.947797000000719
RP,0,0,4.511911499983398,,,33708,False,4.511911499983398
Hit,1,0,,4.187616699986393,,33708,False,4.187616699986393
RP,0,0,2.6534817999927327,,,33708,True,2.6534817999927327
RP,0,0,3.9238933000015095,,,33708,False,3.9238933000015095
RP,0,0,3.632050699990941,,,33708,True,3.632050699990941
RP,0,0,5.583126400015317,,,33708,False,5.583126400015317
Hit,1,0,,4.587400299991714,,33708,False,4.587400299991714
RP,0,0,2.701653299998725,,,33708,True,2.701653299998725
RP,0,0,4.559613799996441,,,33708,False,4.559613799996441
RP,0,0,4.783392300014384,,,33708,False,4.783392300014384
RP,0,0,3.6796609000011813,,,33708,False,3.6796609000011813
RP,0,0,3.111731500015594,,,33708,True,3.111731500015594
RP,0,0,4.7842675000138115,,,33708,False,4.7842675000138115
RP,0,0,3.4723277000011876,,,33708,True,3.4723277000011876
RP,0,0,4.647582000005059,,,33708,False,4.647582000005059
Miss,1,0,,3.2580584000097588,,33708,False,3.2580584000097588
Hit,1,0,,3.950226000015391,,33708,False,3.950226000015391
