index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
2,Miss - RP,-0.903,-1.991,0.185,0.454,1248.275,-1.989,0.141,,0.8722558593750005
0,Hit - Miss,0.684,-0.764,2.131,0.604,2869.185,1.132,0.774,,0.8822558593750003
1,Hit - RP,-0.151,-1.374,1.072,0.511,2235.417,-0.295,1.0,,0.8822558593750003
2,Miss - RP,-0.834,-1.935,0.266,0.459,1017.799,-1.819,0.208,,0.8822558593750003
0,Hit - Miss,0.747,-0.7,2.193,0.604,2746.546,1.237,0.649,,0.8922558593750001
1,Hit - RP,-0.247,-1.467,0.973,0.509,2024.752,-0.486,1.0,,0.8922558593750001
2,Miss - RP,-0.994,-2.086,0.099,0.455,857.652,-2.182,0.088,.,0.8922558593750001
0,Hit - Miss,0.779,-0.652,2.21,0.597,2822.345,1.304,0.577,,0.9022558593750007
1,Hit - RP,-0.442,-1.65,0.767,0.504,2152.317,-0.876,1.0,,0.9022558593750007
2,Miss - RP,-1.221,-2.305,-0.136,0.452,951.423,-2.698,0.021,*,0.9022558593750007
0,Hit - Miss,0.635,-0.793,2.063,0.596,2933.167,1.065,0.861,,0.9122558593750004
1,Hit - RP,-0.339,-1.546,0.869,0.504,2355.895,-0.672,1.0,,0.9122558593750004
2,Miss - RP,-0.973,-2.062,0.115,0.454,1125.999,-2.144,0.097,.,0.9122558593750004
0,Hit - Miss,0.391,-1.031,1.813,0.594,3000.203,0.659,1.0,,0.9222558593750004
1,Hit - RP,-0.102,-1.306,1.101,0.502,2491.363,-0.203,1.0,,0.9222558593750004
2,Miss - RP,-0.493,-1.581,0.594,0.454,1266.574,-1.087,0.831,,0.9222558593750004
0,Hit - Miss,0.423,-0.974,1.821,0.584,3034.545,0.726,1.0,,0.932255859375
1,Hit - RP,0.111,-1.073,1.295,0.494,2565.404,0.225,1.0,,0.932255859375
2,Miss - RP,-0.312,-1.383,0.759,0.447,1354.971,-0.699,1.0,,0.932255859375
0,Hit - Miss,0.533,-0.837,1.902,0.572,3015.579,0.931,1.0,,0.9422558593750008
1,Hit - RP,0.24,-0.919,1.399,0.484,2525.221,0.496,1.0,,0.9422558593750008
2,Miss - RP,-0.293,-1.34,0.755,0.437,1308.587,-0.669,1.0,,0.9422558593750008
0,Hit - Miss,0.237,-1.133,1.606,0.572,3066.58,0.414,1.0,,0.9522558593750006
1,Hit - RP,0.023,-1.138,1.183,0.484,2635.239,0.047,1.0,,0.9522558593750006
2,Miss - RP,-0.214,-1.265,0.838,0.439,1441.397,-0.488,1.0,,0.9522558593750006
0,Hit - Miss,-0.038,-1.424,1.348,0.579,3137.179,-0.065,1.0,,0.9622558593750004
1,Hit - RP,-0.138,-1.315,1.038,0.491,2799.254,-0.282,1.0,,0.9622558593750004
2,Miss - RP,-0.101,-1.171,0.969,0.447,1680.853,-0.225,1.0,,0.9622558593750004
0,Hit - Miss,0.225,-1.161,1.612,0.579,3105.793,0.389,1.0,,0.972255859375
1,Hit - RP,0.078,-1.098,1.255,0.491,2723.834,0.16,1.0,,0.972255859375
2,Miss - RP,-0.147,-1.215,0.921,0.446,1561.975,-0.33,1.0,,0.972255859375
0,Hit - Miss,0.572,-0.807,1.952,0.576,2980.43,0.993,0.962,,0.9822558593750008
1,Hit - RP,0.312,-0.855,1.479,0.487,2450.698,0.64,1.0,,0.9822558593750008
2,Miss - RP,-0.26,-1.314,0.794,0.44,1222.843,-0.591,1.0,,0.9822558593750008
0,Hit - Miss,0.554,-0.82,1.927,0.573,2974.39,0.966,1.0,,0.9922558593750006
1,Hit - RP,0.329,-0.833,1.491,0.485,2437.348,0.679,1.0,,0.9922558593750006
2,Miss - RP,-0.224,-1.274,0.825,0.438,1206.294,-0.513,1.0,,0.9922558593750006
0,Hit - Miss,0.364,-1.004,1.733,0.571,3066.693,0.638,1.0,,1.0022558593750004
1,Hit - RP,0.264,-0.896,1.424,0.484,2633.313,0.545,1.0,,1.0022558593750004
2,Miss - RP,-0.1,-1.152,0.951,0.439,1433.596,-0.229,1.0,,1.0022558593750004
0,Hit - Miss,0.305,-1.055,1.665,0.568,3085.774,0.537,1.0,,1.0122558593750002
1,Hit - RP,0.227,-0.925,1.38,0.481,2678.151,0.472,1.0,,1.0122558593750002
2,Miss - RP,-0.078,-1.123,0.968,0.436,1498.119,-0.178,1.0,,1.0122558593750002
0,Hit - Miss,0.315,-1.054,1.683,0.571,3044.909,0.551,1.0,,1.022255859375
1,Hit - RP,0.1,-1.059,1.259,0.484,2586.949,0.207,1.0,,1.022255859375
2,Miss - RP,-0.215,-1.264,0.835,0.438,1378.913,-0.49,1.0,,1.022255859375
0,Hit - Miss,0.268,-1.09,1.627,0.567,3033.908,0.473,1.0,,1.0322558593750006
1,Hit - RP,-0.082,-1.233,1.069,0.48,2561.232,-0.171,1.0,,1.0322558593750006
2,Miss - RP,-0.351,-1.392,0.691,0.435,1343.223,-0.806,1.0,,1.0322558593750006
0,Hit - Miss,0.212,-1.117,1.541,0.555,2990.848,0.382,1.0,,1.0422558593750004
1,Hit - RP,-0.123,-1.249,1.002,0.47,2470.099,-0.263,1.0,,1.0422558593750004
2,Miss - RP,-0.335,-1.352,0.682,0.424,1238.896,-0.79,1.0,,1.0422558593750004
0,Hit - Miss,0.326,-0.99,1.643,0.549,2754.391,0.594,1.0,,1.0522558593750002
1,Hit - RP,0.029,-1.081,1.14,0.463,2038.286,0.063,1.0,,1.0522558593750002
2,Miss - RP,-0.297,-1.291,0.697,0.415,869.076,-0.717,1.0,,1.0522558593750002
0,Hit - Miss,0.51,-0.82,1.84,0.555,2735.013,0.919,1.0,,1.062255859375
1,Hit - RP,0.186,-0.936,1.308,0.468,2005.223,0.398,1.0,,1.062255859375
2,Miss - RP,-0.324,-1.328,0.681,0.419,841.877,-0.773,1.0,,1.062255859375
0,Hit - Miss,0.513,-0.84,1.867,0.565,2983.809,0.909,1.0,,1.072255859375001
1,Hit - RP,0.055,-1.091,1.201,0.478,2454.159,0.115,1.0,,1.072255859375001
2,Miss - RP,-0.458,-1.494,0.577,0.432,1218.527,-1.061,0.867,,1.072255859375001
0,Hit - Miss,0.4,-0.947,1.748,0.563,3007.305,0.712,1.0,,1.0822558593750005
1,Hit - RP,-0.275,-1.416,0.866,0.476,2504.425,-0.577,1.0,,1.0822558593750005
2,Miss - RP,-0.675,-1.707,0.357,0.43,1276.888,-1.568,0.351,,1.0822558593750005
0,Hit - Miss,0.329,-0.984,1.642,0.548,2734.117,0.6,1.0,,1.0922558593750002
1,Hit - RP,-0.384,-1.492,0.723,0.462,2005.681,-0.832,1.0,,1.0922558593750002
2,Miss - RP,-0.713,-1.704,0.277,0.413,847.296,-1.727,0.254,,1.0922558593750002
0,Hit - Miss,0.38,-0.911,1.672,0.539,2561.306,0.705,1.0,,1.102255859375
1,Hit - RP,-0.307,-1.394,0.779,0.453,1748.158,-0.678,1.0,,1.102255859375
2,Miss - RP,-0.688,-1.654,0.278,0.403,690.654,-1.708,0.264,,1.102255859375
0,Hit - Miss,0.302,-0.987,1.591,0.538,2761.726,0.561,1.0,,1.1122558593750007
1,Hit - RP,-0.349,-1.436,0.739,0.454,2049.515,-0.768,1.0,,1.1122558593750007
2,Miss - RP,-0.65,-1.625,0.324,0.406,874.82,-1.601,0.33,,1.1122558593750007
0,Hit - Miss,0.063,-1.223,1.348,0.537,2850.483,0.117,1.0,,1.1222558593750005
1,Hit - RP,-0.641,-1.726,0.445,0.453,2201.966,-1.414,0.473,,1.1222558593750005
2,Miss - RP,-0.703,-1.679,0.273,0.407,990.865,-1.728,0.253,,1.1222558593750005
0,Hit - Miss,-0.188,-1.459,1.084,0.531,2765.548,-0.354,1.0,,1.1322558593750005
1,Hit - RP,-0.911,-1.984,0.162,0.448,2054.312,-2.034,0.126,,1.1322558593750005
2,Miss - RP,-0.723,-1.686,0.239,0.401,874.362,-1.803,0.215,,1.1322558593750005
0,Hit - Miss,-0.399,-1.668,0.87,0.53,2856.847,-0.754,1.0,,1.142255859375
1,Hit - RP,-0.943,-2.016,0.129,0.448,2210.799,-2.108,0.106,,1.142255859375
2,Miss - RP,-0.544,-1.509,0.421,0.402,991.868,-1.352,0.53,,1.142255859375
0,Hit - Miss,-0.423,-1.684,0.837,0.526,3004.96,-0.804,1.0,,1.1522558593750007
1,Hit - RP,-0.901,-1.968,0.166,0.445,2500.344,-2.023,0.13,,1.1522558593750007
2,Miss - RP,-0.478,-1.443,0.487,0.402,1274.281,-1.188,0.706,,1.1522558593750007
0,Hit - Miss,-0.322,-1.579,0.935,0.525,3105.437,-0.613,1.0,,1.1622558593750003
1,Hit - RP,-0.87,-1.937,0.196,0.445,2723.753,-1.955,0.152,,1.1622558593750003
2,Miss - RP,-0.548,-1.517,0.42,0.404,1563.723,-1.357,0.525,,1.1622558593750003
0,Hit - Miss,-0.023,-1.283,1.237,0.526,3112.639,-0.043,1.0,,1.1722558593750003
1,Hit - RP,-0.618,-1.687,0.451,0.446,2740.497,-1.385,0.499,,1.1722558593750003
2,Miss - RP,-0.595,-1.566,0.376,0.405,1588.293,-1.469,0.426,,1.1722558593750003
0,Hit - Miss,0.359,-0.892,1.61,0.522,3047.778,0.688,1.0,,1.182255859375
1,Hit - RP,-0.328,-1.388,0.732,0.442,2592.861,-0.742,1.0,,1.182255859375
2,Miss - RP,-0.688,-1.648,0.272,0.4,1385.364,-1.717,0.258,,1.182255859375
0,Hit - Miss,0.377,-0.847,1.601,0.511,2931.46,0.738,1.0,,1.1922558593750008
1,Hit - RP,-0.279,-1.314,0.756,0.432,2353.712,-0.645,1.0,,1.1922558593750008
2,Miss - RP,-0.656,-1.588,0.277,0.389,1126.661,-1.686,0.276,,1.1922558593750008
0,Hit - Miss,0.281,-0.924,1.486,0.503,2821.698,0.559,1.0,,1.2022558593750006
1,Hit - RP,-0.255,-1.273,0.762,0.425,2150.919,-0.601,1.0,,1.2022558593750006
2,Miss - RP,-0.536,-1.45,0.377,0.381,949.652,-1.408,0.478,,1.2022558593750006
0,Hit - Miss,0.559,-0.656,1.773,0.507,2765.473,1.102,0.812,,1.2122558593750004
1,Hit - RP,-0.032,-1.057,0.992,0.428,2055.649,-0.075,1.0,,1.2122558593750004
