index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
0,Hit,0.071,-0.56,0.702,0.32,235.628,-2.537744140625
1,Miss,0.0,-0.563,0.564,0.285,131.103,-2.537744140625
2,RP,0.118,-0.253,0.49,0.182,28.968,-2.537744140625
0,Hit,-0.021,-0.635,0.592,0.311,248.5,-2.527744140625
1,Miss,0.042,-0.505,0.588,0.276,136.369,-2.527744140625
2,RP,0.088,-0.269,0.445,0.175,29.644,-2.527744140625
0,Hit,-0.013,-0.619,0.592,0.308,249.278,-2.517744140625
1,Miss,0.114,-0.426,0.653,0.273,136.856,-2.517744140625
2,RP,0.148,-0.204,0.501,0.173,29.764,-2.517744140625
0,Hit,0.222,-0.363,0.807,0.297,305.021,-2.5077441406249994
1,Miss,0.107,-0.408,0.623,0.261,156.209,-2.5077441406249994
2,RP,0.156,-0.166,0.478,0.158,31.802,-2.5077441406249994
0,Hit,0.296,-0.261,0.853,0.283,370.469,-2.497744140625
1,Miss,0.251,-0.234,0.736,0.246,174.34,-2.497744140625
2,RP,0.138,-0.149,0.426,0.142,33.877,-2.497744140625
0,Hit,0.245,-0.293,0.784,0.275,3299.0,-2.487744140625
1,Miss,0.507,0.044,0.969,0.236,3299.0,-2.487744140625
2,RP,0.132,-0.125,0.388,0.131,3299.0,-2.487744140625
0,Hit,0.393,-0.145,0.932,0.274,3299.0,-2.477744140625
1,Miss,0.545,0.083,1.006,0.236,3299.0,-2.477744140625
2,RP,0.166,-0.09,0.421,0.13,3299.0,-2.477744140625
0,Hit,0.531,0.006,1.057,0.268,3299.0,-2.467744140625
1,Miss,0.423,-0.028,0.874,0.23,3299.0,-2.467744140625
2,RP,0.208,-0.042,0.458,0.127,3299.0,-2.467744140625
0,Hit,0.571,0.059,1.083,0.261,3299.0,-2.457744140625
1,Miss,0.407,-0.033,0.847,0.224,3299.0,-2.457744140625
2,RP,0.253,0.009,0.497,0.124,3299.0,-2.457744140625
0,Hit,0.549,0.041,1.057,0.259,3299.0,-2.447744140625
1,Miss,0.485,0.049,0.921,0.222,3299.0,-2.447744140625
2,RP,0.278,0.037,0.52,0.123,3299.0,-2.447744140625
0,Hit,0.351,-0.156,0.857,0.258,3299.0,-2.437744140625
1,Miss,0.426,-0.009,0.86,0.222,3299.0,-2.437744140625
2,RP,0.26,0.02,0.501,0.123,3299.0,-2.437744140625
0,Hit,-0.008,-0.502,0.487,0.252,3299.0,-2.4277441406249998
1,Miss,0.171,-0.253,0.596,0.216,3299.0,-2.4277441406249998
2,RP,0.218,-0.017,0.453,0.12,3299.0,-2.4277441406249998
0,Hit,-0.268,-0.762,0.226,0.251,423.869,-2.4177441406249995
1,Miss,-0.032,-0.458,0.394,0.216,188.776,-2.4177441406249995
2,RP,0.135,-0.108,0.378,0.12,36.335,-2.4177441406249995
0,Hit,-0.219,-0.732,0.293,0.261,349.501,-2.407744140625
1,Miss,-0.03,-0.478,0.419,0.227,172.375,-2.407744140625
2,RP,0.097,-0.177,0.37,0.135,34.237,-2.407744140625
0,Hit,0.033,-0.477,0.544,0.26,325.213,-2.3977441406249995
1,Miss,0.093,-0.357,0.543,0.228,166.597,-2.3977441406249995
2,RP,0.092,-0.189,0.372,0.138,33.932,-2.3977441406249995
0,Hit,0.175,-0.334,0.685,0.259,314.706,-2.3877441406249997
1,Miss,0.177,-0.272,0.627,0.228,164.204,-2.3877441406249997
2,RP,0.041,-0.242,0.324,0.139,33.942,-2.3877441406249997
0,Hit,0.269,-0.224,0.763,0.251,399.162,-2.3777441406249995
1,Miss,0.209,-0.22,0.639,0.218,190.285,-2.3777441406249995
2,RP,-0.0,-0.255,0.255,0.126,37.23,-2.3777441406249995
0,Hit,0.371,-0.105,0.847,0.243,3299.0,-2.367744140625
1,Miss,0.29,-0.119,0.699,0.208,3299.0,-2.367744140625
2,RP,0.029,-0.197,0.256,0.115,3299.0,-2.367744140625
0,Hit,0.266,-0.202,0.734,0.239,3299.0,-2.357744140625
1,Miss,0.311,-0.091,0.713,0.205,3299.0,-2.357744140625
2,RP,0.005,-0.217,0.228,0.114,3299.0,-2.357744140625
