index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
0,Hit,-2.04,-3.236,-0.844,0.606,166.641,-0.5077441406249994
1,Miss,-0.334,-1.419,0.751,0.547,103.235,-0.5077441406249994
2,RP,-2.49,-3.259,-1.72,0.375,26.901,-0.5077441406249994
0,Hit,-2.059,-3.272,-0.846,0.614,158.042,-0.4977441406249996
1,Miss,-0.525,-1.628,0.579,0.556,99.422,-0.4977441406249996
2,RP,-2.618,-3.409,-1.827,0.385,26.681,-0.4977441406249996
0,Hit,-2.039,-3.277,-0.802,0.626,139.364,-0.4877441406249998
1,Miss,-0.525,-1.657,0.606,0.57,90.546,-0.4877441406249998
2,RP,-2.638,-3.469,-1.807,0.404,25.982,-0.4877441406249998
0,Hit,-1.841,-3.077,-0.604,0.625,135.261,-0.4777441406249996
1,Miss,-0.33,-1.462,0.803,0.57,88.506,-0.4777441406249996
2,RP,-2.67,-3.506,-1.834,0.407,25.796,-0.4777441406249996
0,Hit,-1.624,-2.846,-0.401,0.619,141.167,-0.4677441406249998
1,Miss,-0.26,-1.378,0.857,0.563,91.398,-0.4677441406249998
2,RP,-2.777,-3.596,-1.959,0.398,26.029,-0.4677441406249998
0,Hit,-1.696,-2.921,-0.471,0.62,141.644,-0.4577441406249996
1,Miss,-0.44,-1.56,0.679,0.564,91.531,-0.4577441406249996
2,RP,-2.832,-3.651,-2.013,0.398,25.961,-0.4577441406249996
0,Hit,-1.857,-3.082,-0.632,0.62,140.887,-0.4477441406249998
1,Miss,-0.529,-1.648,0.591,0.564,91.082,-0.4477441406249998
2,RP,-2.866,-3.685,-2.047,0.398,25.859,-0.4477441406249998
0,Hit,-1.823,-3.029,-0.618,0.61,148.623,-0.4377441406249996
1,Miss,-0.488,-1.587,0.611,0.554,94.737,-0.4377441406249996
2,RP,-2.844,-3.639,-2.048,0.387,26.111,-0.4377441406249996
0,Hit,-1.763,-2.951,-0.576,0.601,163.604,-0.42774414062499977
1,Miss,-0.635,-1.713,0.443,0.543,101.564,-0.42774414062499977
2,RP,-2.697,-3.463,-1.931,0.373,26.572,-0.42774414062499977
0,Hit,-1.755,-2.936,-0.574,0.598,173.718,-0.4177441406249995
1,Miss,-0.864,-1.933,0.205,0.539,106.099,-0.4177441406249995
2,RP,-2.613,-3.364,-1.862,0.366,26.942,-0.4177441406249995
0,Hit,-1.882,-3.053,-0.712,0.593,182.305,-0.40774414062499975
1,Miss,-0.95,-2.008,0.107,0.534,109.969,-0.40774414062499975
2,RP,-2.681,-3.417,-1.945,0.359,27.326,-0.40774414062499975
0,Hit,-2.063,-3.236,-0.89,0.595,179.806,-0.3977441406249995
1,Miss,-0.931,-1.992,0.129,0.535,108.531,-0.3977441406249995
2,RP,-2.784,-3.523,-2.045,0.36,27.002,-0.3977441406249995
0,Hit,-1.955,-3.148,-0.761,0.604,167.048,-0.3877441406249997
1,Miss,-0.872,-1.953,0.21,0.545,102.716,-0.3877441406249997
2,RP,-2.803,-3.567,-2.039,0.372,26.407,-0.3877441406249997
0,Hit,-1.731,-2.931,-0.532,0.608,168.305,-0.3777441406249995
1,Miss,-0.76,-1.848,0.328,0.549,103.713,-0.3777441406249995
2,RP,-2.724,-3.493,-1.955,0.375,26.764,-0.3777441406249995
0,Hit,-1.713,-2.919,-0.507,0.611,166.89,-0.3677441406249997
1,Miss,-0.537,-1.631,0.557,0.552,103.336,-0.3677441406249997
2,RP,-2.649,-3.425,-1.874,0.378,26.901,-0.3677441406249997
0,Hit,-1.741,-2.953,-0.528,0.614,167.139,-0.3577441406249995
1,Miss,-0.381,-1.481,0.719,0.555,103.397,-0.3577441406249995
2,RP,-2.688,-3.467,-1.908,0.38,26.873,-0.3577441406249995
0,Hit,-1.644,-2.865,-0.423,0.618,157.523,-0.3477441406249997
1,Miss,-0.499,-1.609,0.611,0.56,98.867,-0.3477441406249997
2,RP,-2.901,-3.696,-2.106,0.387,26.416,-0.3477441406249997
0,Hit,-1.528,-2.752,-0.304,0.619,147.567,-0.3377441406249995
1,Miss,-0.68,-1.796,0.435,0.562,94.07,-0.3377441406249995
2,RP,-3.088,-3.897,-2.28,0.393,25.933,-0.3377441406249995
0,Hit,-1.605,-2.812,-0.397,0.611,155.293,-0.3277441406249997
1,Miss,-0.665,-1.764,0.434,0.554,97.796,-0.3277441406249997
2,RP,-3.108,-3.897,-2.319,0.384,26.304,-0.3277441406249997
0,Hit,-1.728,-2.922,-0.534,0.605,174.121,-0.31774414062499945
1,Miss,-0.605,-1.685,0.476,0.545,106.344,-0.31774414062499945
2,RP,-3.076,-3.835,-2.317,0.37,27.003,-0.31774414062499945
0,Hit,-1.666,-2.868,-0.465,0.608,160.728,-0.3077441406249997
1,Miss,-0.668,-1.758,0.423,0.55,99.672,-0.3077441406249997
2,RP,-3.11,-3.885,-2.335,0.377,26.032,-0.3077441406249997
0,Hit,-1.707,-2.906,-0.509,0.607,156.108,-0.29774414062499943
1,Miss,-0.658,-1.747,0.432,0.549,97.433,-0.29774414062499943
2,RP,-3.164,-3.942,-2.386,0.378,25.762,-0.29774414062499943
0,Hit,-1.946,-3.133,-0.758,0.602,177.915,-0.28774414062499964
1,Miss,-0.437,-1.511,0.637,0.542,107.946,-0.28774414062499964
2,RP,-3.133,-3.883,-2.382,0.366,27.093,-0.28774414062499964
0,Hit,-2.119,-3.333,-0.906,0.615,163.426,-0.2777441406249994
1,Miss,-0.419,-1.521,0.683,0.556,101.705,-0.2777441406249994
2,RP,-3.089,-3.873,-2.305,0.382,26.731,-0.2777441406249994
0,Hit,-2.246,-3.475,-1.016,0.622,143.669,-0.2677441406249996
1,Miss,-0.715,-1.837,0.408,0.565,92.191,-0.2677441406249996
2,RP,-3.069,-3.886,-2.252,0.397,25.766,-0.2677441406249996
0,Hit,-2.252,-3.468,-1.035,0.616,150.913,-0.2577441406249994
1,Miss,-0.811,-1.919,0.297,0.558,95.812,-0.2577441406249994
2,RP,-2.998,-3.799,-2.198,0.389,26.192,-0.2577441406249994
0,Hit,-2.115,-3.328,-0.901,0.615,162.507,-0.2477441406249996
1,Miss,-0.781,-1.883,0.322,0.556,101.535,-0.2477441406249996
2,RP,-2.939,-3.725,-2.152,0.383,26.887,-0.2477441406249996
0,Hit,-2.053,-3.275,-0.831,0.619,162.415,-0.23774414062499985
1,Miss,-0.993,-2.104,0.117,0.56,101.577,-0.23774414062499985
2,RP,-2.948,-3.741,-2.156,0.386,26.948,-0.23774414062499985
0,Hit,-2.059,-3.286,-0.832,0.621,153.959,-0.2277441406249996
1,Miss,-1.211,-2.328,-0.094,0.563,97.541,-0.2277441406249996
2,RP,-2.998,-3.803,-2.193,0.392,26.547,-0.2277441406249996
0,Hit,-2.104,-3.34,-0.868,0.625,138.218,-0.2177441406249998
1,Miss,-1.075,-2.205,0.055,0.569,89.721,-0.2177441406249998
2,RP,-3.092,-3.921,-2.262,0.403,25.698,-0.2177441406249998
0,Hit,-2.115,-3.35,-0.88,0.625,137.456,-0.2077441406249996
1,Miss,-0.788,-1.918,0.341,0.568,89.157,-0.2077441406249996
2,RP,-3.112,-3.941,-2.283,0.403,25.496,-0.2077441406249996
0,Hit,-2.016,-3.238,-0.794,0.619,156.051,-0.1977441406249998
1,Miss,-0.522,-1.633,0.589,0.56,98.071,-0.1977441406249998
2,RP,-3.011,-3.808,-2.215,0.388,26.272,-0.1977441406249998
0,Hit,-2.026,-3.244,-0.808,0.617,168.056,-0.1877441406249996
1,Miss,-0.316,-1.42,0.789,0.557,103.559,-0.1877441406249996
2,RP,-2.978,-3.759,-2.198,0.38,26.724,-0.1877441406249996
0,Hit,-2.071,-3.295,-0.848,0.619,161.228,-0.17774414062499974
1,Miss,-0.396,-1.508,0.715,0.56,100.426,-0.17774414062499974
2,RP,-3.053,-3.844,-2.261,0.385,26.443,-0.17774414062499974
0,Hit,-1.978,-3.199,-0.756,0.618,160.284,-0.16774414062499954
1,Miss,-0.669,-1.779,0.44,0.559,100.022,-0.16774414062499954
2,RP,-3.108,-3.9,-2.317,0.385,26.429,-0.16774414062499954
0,Hit,-1.953,-3.162,-0.743,0.613,167.889,-0.15774414062499975
1,Miss,-0.797,-1.893,0.3,0.553,103.297,-0.15774414062499975
2,RP,-3.092,-3.866,-2.317,0.377,26.583,-0.15774414062499975
0,Hit,-2.028,-3.209,-0.847,0.599,184.711,-0.14774414062499952
1,Miss,-0.877,-1.942,0.189,0.538,110.246,-0.14774414062499952
2,RP,-3.079,-3.816,-2.341,0.359,26.922,-0.14774414062499952
0,Hit,-2.08,-3.238,-0.923,0.587,210.556,-0.13774414062499973
1,Miss,-0.99,-2.028,0.048,0.524,121.222,-0.13774414062499973
2,RP,-3.167,-3.868,-2.467,0.342,28.017,-0.13774414062499973
0,Hit,-1.998,-3.158,-0.837,0.589,208.243,-0.1277441406249995
1,Miss,-0.87,-1.913,0.172,0.527,121.206,-0.1277441406249995
2,RP,-3.236,-3.944,-2.528,0.346,28.451,-0.1277441406249995
0,Hit,-1.801,-2.991,-0.611,0.603,168.895,-0.11774414062499973
1,Miss,-0.714,-1.793,0.364,0.544,103.873,-0.11774414062499973
2,RP,-3.218,-3.98,-2.457,0.371,26.71,-0.11774414062499973
0,Hit,-1.758,-2.962,-0.555,0.609,154.991,-0.10774414062499947
1,Miss,-0.715,-1.808,0.379,0.551,96.766,-0.10774414062499947
2,RP,-3.253,-4.035,-2.471,0.38,25.603,-0.10774414062499947
0,Hit,-1.835,-3.03,-0.639,0.605,164.114,-0.0977441406249997
1,Miss,-0.586,-1.669,0.497,0.546,100.781,-0.0977441406249997
2,RP,-3.274,-4.039,-2.509,0.372,25.855,-0.0977441406249997
0,Hit,-1.708,-2.897,-0.519,0.602,169.024,-0.08774414062499948
1,Miss,-0.432,-1.508,0.645,0.543,103.291,-0.08774414062499948
2,RP,-3.227,-3.984,-2.469,0.369,26.263,-0.08774414062499948
0,Hit,-1.652,-2.848,-0.457,0.605,152.692,-0.07774414062499968
1,Miss,-0.594,-1.681,0.493,0.548,95.717,-0.07774414062499968
2,RP,-3.279,-4.059,-2.5,0.379,25.525,-0.07774414062499968
0,Hit,-2.005,-3.22,-0.79,0.615,145.205,-0.06774414062499945
1,Miss,-0.778,-1.886,0.329,0.558,92.351,-0.06774414062499945
2,RP,-3.338,-4.14,-2.536,0.39,25.347,-0.06774414062499945
0,Hit,-2.189,-3.413,-0.965,0.619,145.869,-0.05774414062499966
1,Miss,-0.706,-1.823,0.41,0.562,93.131,-0.05774414062499966
2,RP,-3.326,-4.136,-2.516,0.394,25.757,-0.05774414062499966
0,Hit,-1.965,-3.187,-0.744,0.618,146.448,-0.04774414062499943
1,Miss,-0.706,-1.82,0.408,0.561,93.49,-0.04774414062499943
2,RP,-3.485,-4.293,-2.677,0.393,25.85,-0.04774414062499943
0,Hit,-1.845,-3.081,-0.608,0.625,140.154,-0.03774414062499965
1,Miss,-0.808,-1.937,0.322,0.569,90.352,-0.03774414062499965
2,RP,-3.777,-4.603,-2.952,0.401,25.502,-0.03774414062499965
0,Hit,-1.979,-3.259,-0.699,0.646,121.873,-0.027744140624999414
1,Miss,-0.738,-1.914,0.438,0.591,81.262,-0.027744140624999414
2,RP,-3.933,-4.814,-3.051,0.428,24.735,-0.027744140624999414
0,Hit,-2.237,-3.533,-0.942,0.654,113.224,-0.017744140624999627
1,Miss,-0.587,-1.782,0.607,0.6,76.823,-0.017744140624999627
2,RP,-3.994,-4.902,-3.087,0.44,24.384,-0.017744140624999627
0,Hit,-2.384,-3.65,-1.118,0.64,124.685,-0.007744140624999395
1,Miss,-0.582,-1.745,0.581,0.585,82.767,-0.007744140624999395
2,RP,-4.12,-4.989,-3.252,0.422,24.932,-0.007744140624999395
0,Hit,-2.139,-3.373,-0.905,0.624,142.856,0.0022558593750003912
1,Miss,-0.734,-1.861,0.392,0.567,91.813,0.0022558593750003912
2,RP,-4.175,-4.996,-3.354,0.399,25.745,0.0022558593750003912
0,Hit,-1.765,-2.999,-0.53,0.625,144.005,0.012255859375000178
1,Miss,-0.774,-1.901,0.353,0.568,92.465,0.012255859375000178
2,RP,-4.028,-4.849,-3.207,0.399,25.875,0.012255859375000178
0,Hit,-1.822,-3.056,-0.589,0.624,145.453,0.02225585937500041
1,Miss,-0.714,-1.84,0.412,0.567,93.33,0.02225585937500041
2,RP,-4.115,-4.934,-3.295,0.399,26.077,0.02225585937500041
0,Hit,-2.088,-3.318,-0.858,0.623,150.461,0.032255859375000195
1,Miss,-0.823,-1.944,0.298,0.565,95.686,0.032255859375000195
2,RP,-4.531,-5.341,-3.72,0.394,26.246,0.032255859375000195
0,Hit,-2.186,-3.415,-0.958,0.622,152.071,0.042255859375000426
1,Miss,-0.933,-2.052,0.187,0.564,96.454,0.042255859375000426
2,RP,-4.199,-5.007,-3.392,0.393,26.314,0.042255859375000426
0,Hit,-2.414,-3.616,-1.212,0.609,170.766,0.05225585937500021
1,Miss,-0.957,-2.046,0.133,0.55,105.278,0.05225585937500021
2,RP,-3.143,-3.913,-2.373,0.375,27.185,0.05225585937500021
0,Hit,-2.579,-3.741,-1.418,0.589,208.388,0.06225585937500045
1,Miss,-0.966,-2.008,0.077,0.527,120.656,0.06225585937500045
2,RP,-2.775,-3.481,-2.069,0.345,28.111,0.06225585937500045
0,Hit,-2.533,-3.677,-1.388,0.581,228.364,0.07225585937500023
1,Miss,-0.939,-1.96,0.083,0.516,126.842,0.07225585937500023
2,RP,-2.861,-3.535,-2.186,0.329,27.976,0.07225585937500023
0,Hit,-2.794,-3.95,-1.637,0.587,222.812,0.08225585937500046
1,Miss,-0.96,-1.995,0.075,0.523,126.004,0.08225585937500046
2,RP,-2.278,-2.968,-1.588,0.337,28.421,0.08225585937500046
0,Hit,-2.775,-3.926,-1.623,0.585,240.043,0.09225585937500023
1,Miss,-0.806,-1.833,0.221,0.519,133.095,0.09225585937500023
2,RP,-1.313,-1.989,-0.638,0.331,29.284,0.09225585937500023
0,Hit,-2.0,-3.136,-0.864,0.577,262.053,0.10225585937500048
1,Miss,-0.522,-1.529,0.485,0.509,139.462,0.10225585937500048
2,RP,-0.72,-1.366,-0.073,0.316,29.356,0.10225585937500048
0,Hit,-1.987,-3.129,-0.844,0.58,239.721,0.11225585937500028
1,Miss,-0.971,-1.989,0.047,0.514,131.664,0.11225585937500028
2,RP,-0.461,-1.128,0.205,0.326,28.655,0.11225585937500028
0,Hit,-3.613,-4.776,-2.45,0.59,221.039,0.1222558593750005
1,Miss,-2.557,-3.599,-1.515,0.527,126.686,0.1222558593750005
2,RP,-0.094,-0.794,0.606,0.342,29.086,0.1222558593750005
0,Hit,-5.722,-6.898,-4.546,0.597,208.556,0.13225585937500028
1,Miss,-4.723,-5.781,-3.665,0.534,122.385,0.13225585937500028
2,RP,0.434,-0.287,1.156,0.353,29.075,0.13225585937500028
0,Hit,-7.329,-8.551,-6.106,0.619,172.443,0.14225585937500052
1,Miss,-6.43,-7.539,-5.322,0.559,106.667,0.14225585937500052
2,RP,0.744,-0.04,1.528,0.383,27.706,0.14225585937500052
0,Hit,-8.225,-9.496,-6.955,0.642,139.585,0.1522558593750003
1,Miss,-6.892,-8.054,-5.73,0.585,91.039,0.1522558593750003
2,RP,0.72,-0.136,1.575,0.416,26.339,0.1522558593750003
0,Hit,-8.217,-9.502,-6.932,0.649,132.72,0.16225585937500053
1,Miss,-6.306,-7.484,-5.128,0.593,87.499,0.16225585937500053
2,RP,0.525,-0.349,1.399,0.425,25.935,0.16225585937500053
0,Hit,-7.576,-8.917,-6.235,0.676,104.757,0.17225585937500032
1,Miss,-5.238,-6.48,-3.997,0.623,72.76,0.17225585937500032
2,RP,0.276,-0.684,1.235,0.465,24.493,0.17225585937500032
0,Hit,-6.245,-7.669,-4.822,0.715,79.374,0.18225585937500052
1,Miss,-3.47,-4.804,-2.136,0.666,58.515,0.18225585937500052
2,RP,0.008,-1.073,1.089,0.523,23.213,0.18225585937500052
0,Hit,-3.937,-5.392,-2.482,0.73,71.473,0.19225585937500034
1,Miss,-0.914,-2.283,0.455,0.683,53.875,0.19225585937500034
2,RP,-0.325,-1.455,0.804,0.546,22.818,0.19225585937500034
0,Hit,-1.453,-2.885,-0.022,0.718,73.075,0.20225585937500054
1,Miss,1.546,0.2,2.892,0.672,54.787,0.20225585937500054
2,RP,-0.612,-1.718,0.494,0.534,22.838,0.20225585937500054
0,Hit,0.313,-1.132,1.758,0.725,70.709,0.2122558593750004
1,Miss,3.32,1.959,4.68,0.678,53.27,0.2122558593750004
2,RP,-0.754,-1.877,0.368,0.542,22.528,0.2122558593750004
0,Hit,1.372,-0.159,2.904,0.766,60.508,0.2222558593750006
1,Miss,4.332,2.881,5.784,0.722,47.007,0.2222558593750006
2,RP,-0.866,-2.093,0.361,0.591,21.82,0.2222558593750006
0,Hit,2.127,0.534,3.719,0.795,55.336,0.2322558593750004
1,Miss,4.494,2.979,6.01,0.752,43.785,0.2322558593750004
2,RP,-1.028,-2.328,0.271,0.626,21.513,0.2322558593750004
0,Hit,2.91,1.315,4.504,0.796,55.748,0.2422558593750006
1,Miss,4.339,2.822,5.855,0.752,44.055,0.2422558593750006
2,RP,-1.156,-2.456,0.143,0.626,21.561,0.2422558593750006
0,Hit,3.974,2.41,5.539,0.782,58.615,0.2522558593750004
1,Miss,4.494,3.009,5.978,0.737,45.842,0.2522558593750004
2,RP,-1.25,-2.512,0.012,0.608,21.723,0.2522558593750004
0,Hit,5.295,3.684,6.905,0.803,53.957,0.2622558593750002
1,Miss,4.846,3.312,6.381,0.761,42.913,0.2622558593750002
2,RP,-1.406,-2.727,-0.085,0.636,21.423,0.2622558593750002
0,Hit,6.547,4.852,8.243,0.843,47.425,0.2722558593750004
1,Miss,5.179,3.554,6.804,0.803,38.731,0.2722558593750004
2,RP,-1.445,-2.873,-0.018,0.687,21.014,0.2722558593750004
0,Hit,7.399,5.73,9.067,0.83,48.387,0.2822558593750002
1,Miss,5.27,3.673,6.866,0.79,39.33,0.2822558593750002
2,RP,-1.239,-2.637,0.159,0.672,21.021,0.2822558593750002
0,Hit,7.711,6.098,9.325,0.804,51.568,0.2922558593750004
1,Miss,4.953,3.414,6.493,0.762,41.326,0.2922558593750004
2,RP,-0.967,-2.301,0.366,0.642,21.129,0.2922558593750004
0,Hit,7.648,6.089,9.207,0.778,56.128,0.3022558593750002
1,Miss,4.329,2.847,5.811,0.735,44.182,0.3022558593750002
2,RP,-0.719,-1.985,0.547,0.609,21.362,0.3022558593750002
0,Hit,7.462,5.97,8.954,0.747,62.422,0.31225585937500044
1,Miss,3.614,2.203,5.026,0.702,48.073,0.31225585937500044
2,RP,-0.444,-1.63,0.741,0.571,21.729,0.31225585937500044
0,Hit,7.142,5.659,8.626,0.742,63.138,0.32225585937500023
1,Miss,3.034,1.631,4.436,0.698,48.49,0.32225585937500023
2,RP,-0.209,-1.384,0.967,0.566,21.733,0.32225585937500023
0,Hit,6.531,5.028,8.035,0.752,60.756,0.3322558593750005
1,Miss,2.609,1.186,4.033,0.708,47.033,0.3322558593750005
2,RP,-0.079,-1.28,1.122,0.578,21.599,0.3322558593750005
0,Hit,5.78,4.311,7.249,0.735,63.897,0.34225585937500025
1,Miss,2.201,0.813,3.589,0.691,48.988,0.34225585937500025
2,RP,-0.013,-1.175,1.149,0.56,21.84,0.34225585937500025
0,Hit,5.3,3.873,6.727,0.715,68.922,0.3522558593750005
1,Miss,1.812,0.468,3.156,0.67,52.039,0.3522558593750005
2,RP,-0.044,-1.156,1.067,0.536,22.155,0.3522558593750005
0,Hit,4.865,3.459,6.27,0.705,73.09,0.36225585937500027
1,Miss,1.509,0.189,2.829,0.658,54.437,0.36225585937500027
2,RP,-0.103,-1.182,0.977,0.521,22.256,0.36225585937500027
0,Hit,3.903,2.556,5.25,0.678,84.736,0.3722558593750005
1,Miss,1.055,-0.202,2.311,0.628,60.978,0.3722558593750005
2,RP,-0.065,-1.066,0.936,0.483,22.594,0.3722558593750005
0,Hit,2.662,1.392,3.933,0.641,106.23,0.3822558593750003
1,Miss,0.322,-0.851,1.495,0.589,72.627,0.3822558593750003
2,RP,-0.066,-0.964,0.831,0.435,23.497,0.3822558593750003
0,Hit,1.54,0.325,2.754,0.614,129.661,0.3922558593750005
1,Miss,-0.391,-1.503,0.72,0.559,84.636,0.3922558593750005
2,RP,-0.16,-0.981,0.662,0.398,24.551,0.3922558593750005
0,Hit,0.441,-0.755,1.636,0.605,138.661,0.4022558593750003
1,Miss,-0.934,-2.026,0.158,0.549,89.131,0.4022558593750003
2,RP,-0.226,-1.023,0.571,0.387,25.01,0.4022558593750003
0,Hit,-0.667,-1.861,0.526,0.604,141.216,0.4122558593750005
1,Miss,-1.547,-2.637,-0.457,0.549,90.937,0.4122558593750005
2,RP,-0.266,-1.062,0.53,0.387,25.606,0.4122558593750005
0,Hit,-1.529,-2.715,-0.342,0.601,152.241,0.4222558593750003
1,Miss,-2.226,-3.307,-1.145,0.545,96.892,0.4222558593750003
2,RP,-0.259,-1.04,0.523,0.381,26.614,0.4222558593750003
0,Hit,-1.991,-3.19,-0.791,0.607,145.192,0.43225585937500055
1,Miss,-2.555,-3.65,-1.459,0.552,93.657,0.43225585937500055
2,RP,-0.253,-1.052,0.547,0.389,26.457,0.43225585937500055
0,Hit,-2.263,-3.49,-1.036,0.62,118.849,0.4422558593750003
1,Miss,-2.589,-3.719,-1.458,0.568,80.463,0.4422558593750003
2,RP,-0.302,-1.158,0.554,0.416,25.391,0.4422558593750003
0,Hit,-2.481,-3.725,-1.237,0.627,103.708,0.4522558593750006
1,Miss,-2.522,-3.675,-1.368,0.579,72.526,0.4522558593750006
2,RP,-0.323,-1.218,0.572,0.435,24.85,0.4522558593750006
0,Hit,-2.387,-3.652,-1.122,0.637,93.975,0.4622558593750004
1,Miss,-2.39,-3.568,-1.213,0.59,67.147,0.4622558593750004
2,RP,-0.314,-1.244,0.615,0.451,24.378,0.4622558593750004
0,Hit,-1.921,-3.207,-0.636,0.647,87.719,0.4722558593750006
1,Miss,-2.328,-3.528,-1.127,0.601,63.566,0.4722558593750006
2,RP,-0.317,-1.276,0.641,0.465,24.004,0.4722558593750006
0,Hit,-1.391,-2.7,-0.082,0.658,80.185,0.4822558593750004
1,Miss,-2.135,-3.362,-0.909,0.613,59.143,0.4822558593750004
2,RP,-0.364,-1.358,0.63,0.481,23.494,0.4822558593750004
0,Hit,-0.954,-2.281,0.374,0.666,74.323,0.4922558593750006
1,Miss,-1.78,-3.028,-0.533,0.623,55.627,0.4922558593750006
2,RP,-0.435,-1.458,0.589,0.495,23.067,0.4922558593750006
0,Hit,-0.728,-2.045,0.589,0.662,78.521,0.5022558593750004
1,Miss,-1.777,-3.012,-0.542,0.617,58.122,0.5022558593750004
2,RP,-0.453,-1.457,0.55,0.486,23.331,0.5022558593750004
0,Hit,-0.769,-2.055,0.516,0.647,88.484,0.5122558593750002
1,Miss,-2.019,-3.219,-0.82,0.6,63.962,0.5122558593750002
2,RP,-0.41,-1.367,0.546,0.463,23.987,0.5122558593750002
0,Hit,-0.799,-2.047,0.45,0.629,99.907,0.522255859375
1,Miss,-2.057,-3.216,-0.898,0.581,70.466,0.522255859375
2,RP,-0.501,-1.407,0.405,0.44,24.697,0.522255859375
0,Hit,-0.878,-2.091,0.336,0.612,113.074,0.5322558593750006
1,Miss,-2.164,-3.285,-1.043,0.563,77.662,0.5322558593750006
2,RP,-0.795,-1.652,0.063,0.417,25.396,0.5322558593750006
0,Hit,-1.005,-2.2,0.19,0.604,122.655,0.5422558593750004
1,Miss,-2.363,-3.463,-1.263,0.553,82.625,0.5422558593750004
2,RP,-0.97,-1.799,-0.141,0.403,25.756,0.5422558593750004
0,Hit,-0.895,-2.085,0.295,0.601,121.972,0.5522558593750002
1,Miss,-2.228,-3.323,-1.133,0.551,82.204,0.5522558593750002
2,RP,-0.872,-1.698,-0.046,0.402,25.655,0.5522558593750002
0,Hit,-0.835,-2.025,0.355,0.601,120.888,0.562255859375
1,Miss,-1.944,-3.039,-0.848,0.551,81.656,0.562255859375
2,RP,-0.74,-1.568,0.087,0.402,25.622,0.562255859375
0,Hit,-0.918,-2.112,0.277,0.603,116.19,0.5722558593750007
1,Miss,-1.845,-2.947,-0.744,0.553,79.19,0.5722558593750007
2,RP,-0.753,-1.591,0.086,0.407,25.402,0.5722558593750007
0,Hit,-0.875,-2.076,0.327,0.606,104.371,0.5822558593750005
1,Miss,-1.918,-3.031,-0.805,0.559,72.783,0.5822558593750005
2,RP,-0.789,-1.652,0.073,0.419,24.754,0.5822558593750005
0,Hit,-0.769,-1.963,0.424,0.602,107.278,0.5922558593750002
1,Miss,-2.069,-3.174,-0.965,0.554,74.277,0.5922558593750002
2,RP,-0.86,-1.711,-0.009,0.413,24.799,0.5922558593750002
0,Hit,-0.702,-1.86,0.456,0.585,130.035,0.602255859375
1,Miss,-2.141,-3.203,-1.078,0.535,86.108,0.602255859375
2,RP,-0.917,-1.708,-0.126,0.385,25.783,0.602255859375
0,Hit,-0.712,-1.838,0.413,0.57,155.036,0.6122558593750007
1,Miss,-2.125,-3.151,-1.1,0.517,98.443,0.6122558593750007
2,RP,-0.843,-1.583,-0.104,0.36,26.909,0.6122558593750007
0,Hit,-0.789,-1.893,0.314,0.559,174.866,0.6222558593750005
1,Miss,-2.216,-3.216,-1.216,0.505,108.053,0.6222558593750005
2,RP,-0.831,-1.538,-0.125,0.345,28.008,0.6222558593750005
0,Hit,-0.715,-1.797,0.366,0.548,200.999,0.6322558593750003
1,Miss,-2.349,-3.325,-1.374,0.493,120.128,0.6322558593750003
2,RP,-0.861,-1.534,-0.189,0.329,29.369,0.6322558593750003
0,Hit,-0.567,-1.639,0.505,0.544,201.454,0.6422558593750001
1,Miss,-2.346,-3.313,-1.38,0.488,120.228,0.6422558593750001
2,RP,-0.888,-1.554,-0.222,0.326,29.326,0.6422558593750001
0,Hit,-0.551,-1.624,0.522,0.544,198.723,0.6522558593750007
1,Miss,-2.305,-3.272,-1.337,0.489,118.723,0.6522558593750007
2,RP,-1.006,-1.673,-0.338,0.326,29.011,0.6522558593750007
0,Hit,-0.45,-1.53,0.63,0.547,189.064,0.6622558593750005
1,Miss,-2.375,-3.35,-1.399,0.493,114.369,0.6622558593750005
2,RP,-1.046,-1.725,-0.367,0.332,28.541,0.6622558593750005
0,Hit,-0.244,-1.319,0.831,0.545,181.675,0.6722558593750003
1,Miss,-2.479,-3.453,-1.506,0.491,111.028,0.6722558593750003
2,RP,-0.997,-1.68,-0.315,0.333,28.208,0.6722558593750003
0,Hit,-0.279,-1.368,0.809,0.552,169.726,0.6822558593750001
1,Miss,-2.407,-3.395,-1.418,0.498,105.581,0.6822558593750001
2,RP,-0.972,-1.674,-0.27,0.342,27.715,0.6822558593750001
0,Hit,-0.46,-1.566,0.647,0.56,155.31,0.6922558593750008
1,Miss,-2.205,-3.213,-1.197,0.508,98.793,0.6922558593750008
2,RP,-0.895,-1.623,-0.167,0.355,27.1,0.6922558593750008
0,Hit,-0.376,-1.491,0.739,0.564,147.602,0.7022558593750006
1,Miss,-2.055,-3.073,-1.037,0.513,95.047,0.7022558593750006
2,RP,-0.832,-1.574,-0.091,0.361,26.747,0.7022558593750006
0,Hit,-0.101,-1.205,1.003,0.559,146.763,0.7122558593750004
1,Miss,-1.975,-2.983,-0.966,0.508,94.736,0.7122558593750004
2,RP,-0.886,-1.622,-0.15,0.359,26.796,0.7122558593750004
0,Hit,-0.023,-1.124,1.077,0.557,142.309,0.7222558593750001
1,Miss,-1.95,-2.957,-0.943,0.507,92.761,0.7222558593750001
2,RP,-0.936,-1.676,-0.196,0.361,26.796,0.7222558593750001
0,Hit,-0.113,-1.209,0.984,0.555,139.501,0.7322558593750008
