condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
FTI,0.128,0.047,0.21,0.04,40.378,-0.6499999999999999,33.92307692307692
Miss,0.114,0.058,0.169,0.027,27.057,-0.6499999999999999,34.93589743589744
Hit,0.096,0.039,0.153,0.028,30.294,-0.6499999999999999,34.93589743589744
RP,0.098,0.043,0.152,0.026,23.561,-0.6499999999999999,34.93589743589744
FTI,0.095,0.034,0.157,0.03,42.536,-0.6499999999999999,34.93589743589744
Miss,0.083,0.043,0.124,0.02,27.442,-0.6499999999999999,35.94871794871795
Hit,0.07,0.028,0.111,0.02,31.007,-0.6499999999999999,35.94871794871795
RP,0.069,0.03,0.109,0.019,23.612,-0.6499999999999999,35.94871794871795
FTI,0.068,0.023,0.113,0.022,44.617,-0.6499999999999999,35.94871794871795
Miss,0.058,0.029,0.086,0.014,27.76,-0.6499999999999999,36.96153846153846
Hit,0.048,0.019,0.078,0.014,31.598,-0.6499999999999999,36.96153846153846
RP,0.047,0.02,0.075,0.013,23.655,-0.6499999999999999,36.96153846153846
FTI,0.047,0.015,0.079,0.016,46.36,-0.6499999999999999,36.96153846153846
Miss,0.038,0.019,0.058,0.01,28.027,-0.6499999999999999,37.97435897435897
Hit,0.032,0.012,0.052,0.01,32.096,-0.6499999999999999,37.97435897435897
RP,0.031,0.012,0.05,0.009,23.691,-0.6499999999999999,37.97435897435897
FTI,0.032,0.01,0.054,0.011,47.839,-0.6499999999999999,37.97435897435897
Miss,0.024,0.011,0.037,0.006,28.243,-0.6499999999999999,38.987179487179496
Hit,0.021,0.008,0.034,0.006,32.5,-0.6499999999999999,38.987179487179496
RP,0.02,0.007,0.032,0.006,23.721,-0.6499999999999999,38.987179487179496
FTI,0.02,0.006,0.035,0.007,49.046,-0.6499999999999999,38.987179487179496
Miss,0.015,0.007,0.023,0.004,28.351,-0.6499999999999999,40.0
Hit,0.013,0.004,0.021,0.004,32.702,-0.6499999999999999,40.0
RP,0.012,0.004,0.02,0.004,23.736,-0.6499999999999999,40.0
FTI,0.013,0.004,0.022,0.004,49.65,-0.6499999999999999,40.0
Miss,2.357,0.384,4.33,0.96,26.377,-0.6000000000000001,0.5
Hit,2.485,0.473,4.498,0.984,29.047,-0.6000000000000001,0.5
RP,2.597,0.67,4.524,0.933,23.464,-0.6000000000000001,0.5
FTI,3.943,1.801,6.085,1.059,38.982,-0.6000000000000001,0.5
Miss,0.965,0.29,1.64,0.329,27.788,-0.6000000000000001,1.5128205128205128
Hit,1.095,0.402,1.789,0.34,31.658,-0.6000000000000001,1.5128205128205128
RP,1.104,0.451,1.757,0.316,23.651,-0.6000000000000001,1.5128205128205128
FTI,1.315,0.561,2.069,0.375,46.555,-0.6000000000000001,1.5128205128205128
Miss,0.794,0.377,1.212,0.203,26.843,-0.6000000000000001,2.525641025641025
Hit,0.769,0.342,1.195,0.209,29.903,-0.6000000000000001,2.525641025641025
RP,0.818,0.412,1.225,0.197,23.527,-0.6000000000000001,2.525641025641025
FTI,1.017,0.559,1.475,0.227,41.422,-0.6000000000000001,2.525641025641025
Miss,0.79,0.472,1.109,0.155,27.422,-0.6000000000000001,3.5384615384615383
Hit,0.86,0.533,1.187,0.16,30.979,-0.6000000000000001,3.5384615384615383
RP,0.778,0.469,1.087,0.15,23.6,-0.6000000000000001,3.5384615384615383
FTI,0.758,0.405,1.112,0.175,44.557,-0.6000000000000001,3.5384615384615383
Miss,0.871,0.582,1.16,0.141,28.159,-0.6000000000000001,4.55128205128205
Hit,0.842,0.545,1.14,0.146,32.363,-0.6000000000000001,4.55128205128205
RP,0.85,0.571,1.129,0.135,23.691,-0.6000000000000001,4.55128205128205
FTI,0.761,0.435,1.086,0.162,48.678,-0.6000000000000001,4.55128205128205
Miss,0.997,0.728,1.266,0.132,30.936,-0.6000000000000001,5.564102564102564
Hit,0.918,0.638,1.199,0.139,37.676,-0.6000000000000001,5.564102564102564
RP,0.926,0.67,1.181,0.124,24.03,-0.6000000000000001,5.564102564102564
FTI,0.939,0.622,1.257,0.159,65.311,-0.6000000000000001,5.564102564102564
Miss,1.306,0.908,1.704,0.195,31.363,-0.6000000000000001,6.5769230769230775
Hit,1.071,0.654,1.487,0.206,38.523,-0.6000000000000001,6.5769230769230775
RP,1.166,0.789,1.543,0.183,24.068,-0.6000000000000001,6.5769230769230775
FTI,1.247,0.773,1.72,0.237,68.107,-0.6000000000000001,6.5769230769230775
Miss,1.729,1.061,2.397,0.326,28.195,-0.6000000000000001,7.589743589743589
Hit,1.504,0.816,2.192,0.338,32.454,-0.6000000000000001,7.589743589743589
RP,1.648,1.003,2.293,0.312,23.672,-0.6000000000000001,7.589743589743589
FTI,1.526,0.774,2.279,0.375,49.011,-0.6000000000000001,7.589743589743589
Miss,2.094,1.287,2.9,0.394,27.978,-0.6000000000000001,8.602564102564102
Hit,2.133,1.303,2.963,0.407,32.045,-0.6000000000000001,8.602564102564102
RP,2.042,1.262,2.821,0.378,23.647,-0.6000000000000001,8.602564102564102
FTI,1.747,0.842,2.653,0.45,47.776,-0.6000000000000001,8.602564102564102
Miss,2.354,1.551,3.157,0.392,28.62,-0.6000000000000001,9.615384615384617
Hit,2.457,1.629,3.286,0.407,33.244,-0.6000000000000001,9.615384615384617
RP,2.192,1.418,2.965,0.374,23.739,-0.6000000000000001,9.615384615384617
FTI,1.903,0.991,2.814,0.454,51.374,-0.6000000000000001,9.615384615384617
Miss,2.298,1.641,2.954,0.321,29.562,-0.6000000000000001,10.628205128205126
Hit,2.254,1.574,2.935,0.335,35.023,-0.6000000000000001,10.628205128205126
RP,2.018,1.389,2.646,0.304,23.867,-0.6000000000000001,10.628205128205126
FTI,1.825,1.067,2.582,0.378,56.845,-0.6000000000000001,10.628205128205126
Miss,1.942,1.498,2.387,0.218,31.623,-0.6000000000000001,11.64102564102564
Hit,1.765,1.3,2.23,0.23,39.02,-0.6000000000000001,11.64102564102564
RP,1.62,1.199,2.04,0.204,24.109,-0.6000000000000001,11.64102564102564
FTI,1.517,0.987,2.047,0.266,69.709,-0.6000000000000001,11.64102564102564
Miss,1.516,1.231,1.801,0.14,34.819,-0.6000000000000001,12.653846153846152
Hit,1.292,0.99,1.594,0.15,45.418,-0.6000000000000001,12.653846153846152
RP,1.221,0.957,1.486,0.128,24.441,-0.6000000000000001,12.653846153846152
FTI,1.155,0.8,1.51,0.179,91.625,-0.6000000000000001,12.653846153846152
Miss,1.18,0.975,1.385,0.101,36.912,-0.6000000000000001,13.666666666666664
Hit,0.972,0.753,1.191,0.109,49.682,-0.6000000000000001,13.666666666666664
RP,0.954,0.766,1.143,0.091,24.669,-0.6000000000000001,13.666666666666664
FTI,0.889,0.627,1.15,0.132,106.885,-0.6000000000000001,13.666666666666664
Miss,0.978,0.789,1.166,0.093,35.2,-0.6000000000000001,14.67948717948718
Hit,0.804,0.604,1.004,0.099,46.127,-0.6000000000000001,14.67948717948718
RP,0.818,0.643,0.992,0.085,24.532,-0.6000000000000001,14.67948717948718
FTI,0.757,0.521,0.992,0.119,93.96,-0.6000000000000001,14.67948717948718
Miss,0.878,0.678,1.078,0.098,32.225,-0.6000000000000001,15.692307692307693
Hit,0.74,0.53,0.949,0.104,40.173,-0.6000000000000001,15.692307692307693
RP,0.758,0.569,0.946,0.091,24.205,-0.6000000000000001,15.692307692307693
FTI,0.72,0.48,0.961,0.121,73.458,-0.6000000000000001,15.692307692307693
Miss,0.824,0.607,1.041,0.106,29.744,-0.6000000000000001,16.705128205128204
Hit,0.732,0.507,0.958,0.111,35.358,-0.6000000000000001,16.705128205128204
RP,0.731,0.523,0.939,0.101,23.903,-0.6000000000000001,16.705128205128204
FTI,0.72,0.469,0.972,0.126,57.862,-0.6000000000000001,16.705128205128204
Miss,0.783,0.544,1.023,0.117,27.833,-0.6000000000000001,17.71794871794872
Hit,0.753,0.507,0.999,0.121,31.74,-0.6000000000000001,17.71794871794872
RP,0.718,0.486,0.949,0.112,23.659,-0.6000000000000001,17.71794871794872
FTI,0.719,0.452,0.987,0.133,46.792,-0.6000000000000001,17.71794871794872
Miss,0.751,0.476,1.026,0.134,26.672,-0.6000000000000001,18.73076923076923
Hit,0.786,0.505,1.067,0.138,29.585,-0.6000000000000001,18.73076923076923
RP,0.709,0.441,0.978,0.13,23.508,-0.6000000000000001,18.73076923076923
FTI,0.705,0.404,1.005,0.149,40.5,-0.6000000000000001,18.73076923076923
Miss,0.732,0.401,1.063,0.161,26.185,-0.6000000000000001,19.743589743589748
Hit,0.824,0.486,1.161,0.165,28.688,-0.6000000000000001,19.743589743589748
RP,0.705,0.381,1.029,0.157,23.445,-0.6000000000000001,19.743589743589748
FTI,0.676,0.319,1.034,0.177,37.953,-0.6000000000000001,19.743589743589748
Miss,0.725,0.323,1.127,0.196,26.02,-0.6000000000000001,20.756410256410252
Hit,0.849,0.44,1.259,0.2,28.385,-0.6000000000000001,20.756410256410252
RP,0.703,0.31,1.097,0.191,23.424,-0.6000000000000001,20.756410256410252
FTI,0.639,0.206,1.072,0.214,37.102,-0.6000000000000001,20.756410256410252
Miss,0.72,0.247,1.193,0.23,25.884,-0.6000000000000001,21.76923076923077
Hit,0.847,0.366,1.328,0.235,28.136,-0.6000000000000001,21.76923076923077
RP,0.701,0.238,1.164,0.224,23.406,-0.6000000000000001,21.76923076923077
FTI,0.6,0.093,1.108,0.25,36.409,-0.6000000000000001,21.76923076923077
Miss,0.71,0.187,1.234,0.255,25.711,-0.6000000000000001,22.78205128205128
Hit,0.807,0.275,1.339,0.26,27.823,-0.6000000000000001,22.78205128205128
RP,0.691,0.177,1.205,0.249,23.382,-0.6000000000000001,22.78205128205128
FTI,0.566,0.006,1.126,0.276,35.541,-0.6000000000000001,22.78205128205128
Miss,0.691,0.152,1.231,0.262,25.575,-0.6000000000000001,23.794871794871803
Hit,0.736,0.188,1.284,0.267,27.575,-0.6000000000000001,23.794871794871803
RP,0.666,0.136,1.196,0.256,23.364,-0.6000000000000001,23.794871794871803
FTI,0.538,-0.037,1.114,0.283,34.859,-0.6000000000000001,23.794871794871803
Miss,0.661,0.144,1.179,0.252,25.533,-0.6000000000000001,24.80769230769231
Hit,0.647,0.121,1.172,0.256,27.5,-0.6000000000000001,24.80769230769231
RP,0.624,0.115,1.132,0.246,23.358,-0.6000000000000001,24.80769230769231
FTI,0.516,-0.035,1.067,0.272,34.653,-0.6000000000000001,24.80769230769231
Miss,0.618,0.153,1.083,0.226,25.557,-0.6000000000000001,25.820512820512818
Hit,0.555,0.083,1.027,0.23,27.543,-0.6000000000000001,25.820512820512818
RP,0.567,0.111,1.024,0.221,23.361,-0.6000000000000001,25.820512820512818
FTI,0.493,-0.002,0.989,0.244,34.772,-0.6000000000000001,25.820512820512818
Miss,0.561,0.166,0.956,0.192,25.565,-0.6000000000000001,26.83333333333333
Hit,0.471,0.07,0.872,0.196,27.558,-0.6000000000000001,26.83333333333333
RP,0.503,0.116,0.891,0.188,23.362,-0.6000000000000001,26.83333333333333
FTI,0.463,0.042,0.884,0.207,34.813,-0.6000000000000001,26.83333333333333
Miss,0.49,0.168,0.812,0.157,25.526,-0.6000000000000001,27.84615384615385
Hit,0.398,0.071,0.725,0.16,27.487,-0.6000000000000001,27.84615384615385
RP,0.439,0.122,0.755,0.153,23.357,-0.6000000000000001,27.84615384615385
FTI,0.42,0.077,0.764,0.169,34.621,-0.6000000000000001,27.84615384615385
Miss,0.413,0.157,0.67,0.125,25.497,-0.6000000000000001,28.85897435897436
Hit,0.338,0.078,0.599,0.127,27.434,-0.6000000000000001,28.85897435897436
RP,0.376,0.124,0.628,0.122,23.353,-0.6000000000000001,28.85897435897436
FTI,0.366,0.093,0.64,0.135,34.475,-0.6000000000000001,28.85897435897436
Miss,0.34,0.137,0.542,0.098,25.582,-0.6000000000000001,29.871794871794872
Hit,0.29,0.084,0.496,0.1,27.589,-0.6000000000000001,29.871794871794872
RP,0.318,0.119,0.517,0.096,23.364,-0.6000000000000001,29.871794871794872
FTI,0.308,0.092,0.524,0.106,34.899,-0.6000000000000001,29.871794871794872
Miss,0.276,0.116,0.435,0.078,25.852,-0.6000000000000001,30.884615384615387
Hit,0.25,0.088,0.413,0.079,28.079,-0.6000000000000001,30.884615384615387
RP,0.264,0.108,0.421,0.076,23.402,-0.6000000000000001,30.884615384615387
FTI,0.252,0.08,0.423,0.084,36.252,-0.6000000000000001,30.884615384615387
Miss,0.223,0.097,0.348,0.061,26.227,-0.6000000000000001,31.897435897435894
Hit,0.214,0.086,0.342,0.063,28.762,-0.6000000000000001,31.897435897435894
RP,0.215,0.092,0.337,0.059,23.452,-0.6000000000000001,31.897435897435894
FTI,0.203,0.067,0.339,0.067,38.158,-0.6000000000000001,31.897435897435894
Miss,0.179,0.081,0.276,0.047,26.537,-0.6000000000000001,32.91025641025641
Hit,0.177,0.078,0.277,0.049,29.332,-0.6000000000000001,32.91025641025641
RP,0.17,0.074,0.265,0.046,23.494,-0.6000000000000001,32.91025641025641
FTI,0.163,0.057,0.269,0.052,39.771,-0.6000000000000001,32.91025641025641
Miss,0.14,0.067,0.214,0.036,26.735,-0.6000000000000001,33.92307692307692
Hit,0.138,0.063,0.213,0.037,29.697,-0.6000000000000001,33.92307692307692
RP,0.129,0.058,0.201,0.035,23.519,-0.6000000000000001,33.92307692307692
FTI,0.129,0.049,0.209,0.04,40.815,-0.6000000000000001,33.92307692307692
Miss,0.106,0.052,0.159,0.026,26.923,-0.6000000000000001,34.93589743589744
Hit,0.1,0.045,0.155,0.027,30.046,-0.6000000000000001,34.93589743589744
RP,0.095,0.043,0.147,0.025,23.543,-0.6000000000000001,34.93589743589744
FTI,0.099,0.041,0.158,0.029,41.823,-0.6000000000000001,34.93589743589744
Miss,0.077,0.039,0.114,0.018,27.195,-0.6000000000000001,35.94871794871795
Hit,0.067,0.029,0.105,0.019,30.551,-0.6000000000000001,35.94871794871795
RP,0.067,0.031,0.103,0.018,23.578,-0.6000000000000001,35.94871794871795
FTI,0.074,0.033,0.115,0.02,43.29,-0.6000000000000001,35.94871794871795
Miss,0.053,0.028,0.078,0.012,27.496,-0.6000000000000001,36.96153846153846
Hit,0.043,0.017,0.068,0.013,31.111,-0.6000000000000001,36.96153846153846
RP,0.046,0.021,0.07,0.012,23.616,-0.6000000000000001,36.96153846153846
FTI,0.053,0.025,0.081,0.014,44.93,-0.6000000000000001,36.96153846153846
Miss,0.035,0.019,0.052,0.008,27.748,-0.6000000000000001,37.97435897435897
Hit,0.026,0.009,0.043,0.008,31.581,-0.6000000000000001,37.97435897435897
RP,0.03,0.014,0.046,0.008,23.65,-0.6000000000000001,37.97435897435897
FTI,0.036,0.018,0.055,0.009,46.316,-0.6000000000000001,37.97435897435897
Miss,0.023,0.012,0.033,0.005,28.091,-0.6000000000000001,38.987179487179496
Hit,0.016,0.005,0.027,0.005,32.221,-0.6000000000000001,38.987179487179496
RP,0.019,0.009,0.03,0.005,23.696,-0.6000000000000001,38.987179487179496
FTI,0.024,0.012,0.036,0.006,48.22,-0.6000000000000001,38.987179487179496
Miss,0.014,0.007,0.021,0.003,28.715,-0.6000000000000001,40.0
Hit,0.01,0.003,0.017,0.003,33.393,-0.6000000000000001,40.0
RP,0.012,0.005,0.018,0.003,23.779,-0.6000000000000001,40.0
FTI,0.015,0.007,0.023,0.004,51.756,-0.6000000000000001,40.0
Miss,2.341,0.368,4.314,0.961,26.373,-0.5499999999999998,0.5
Hit,2.498,0.485,4.511,0.984,29.038,-0.5499999999999998,0.5
RP,2.6,0.672,4.527,0.933,23.463,-0.5499999999999998,0.5
FTI,3.936,1.794,6.078,1.059,38.957,-0.5499999999999998,0.5
Miss,0.958,0.292,1.623,0.325,27.516,-0.5499999999999998,1.5128205128205128
Hit,1.097,0.414,1.78,0.335,31.152,-0.5499999999999998,1.5128205128205128
RP,1.105,0.459,1.75,0.312,23.615,-0.5499999999999998,1.5128205128205128
FTI,1.308,0.568,2.048,0.367,45.058,-0.5499999999999998,1.5128205128205128
Miss,0.794,0.373,1.214,0.205,26.898,-0.5499999999999998,2.525641025641025
Hit,0.749,0.32,1.179,0.21,30.004,-0.5499999999999998,2.525641025641025
RP,0.83,0.42,1.239,0.198,23.535,-0.5499999999999998,2.525641025641025
FTI,0.952,0.491,1.414,0.229,41.712,-0.5499999999999998,2.525641025641025
Miss,0.788,0.472,1.104,0.154,27.347,-0.5499999999999998,3.5384615384615383
Hit,0.877,0.553,1.201,0.159,30.839,-0.5499999999999998,3.5384615384615383
RP,0.777,0.471,1.084,0.148,23.591,-0.5499999999999998,3.5384615384615383
FTI,0.709,0.359,1.059,0.174,44.144,-0.5499999999999998,3.5384615384615383
Miss,0.863,0.574,1.152,0.141,28.123,-0.5499999999999998,4.55128205128205
Hit,0.892,0.594,1.189,0.146,32.295,-0.5499999999999998,4.55128205128205
RP,0.85,0.571,1.129,0.135,23.686,-0.5499999999999998,4.55128205128205
FTI,0.712,0.387,1.037,0.162,48.477,-0.5499999999999998,4.55128205128205
Miss,0.996,0.727,1.266,0.132,32.172,-0.5499999999999998,5.564102564102564
Hit,0.938,0.655,1.22,0.14,40.091,-0.5499999999999998,5.564102564102564
RP,0.93,0.676,1.184,0.123,24.179,-0.5499999999999998,5.564102564102564
FTI,0.938,0.614,1.262,0.163,73.247,-0.5499999999999998,5.564102564102564
Miss,1.316,0.924,1.707,0.192,31.596,-0.5499999999999998,6.5769230769230775
Hit,1.059,0.65,1.469,0.202,38.977,-0.5499999999999998,6.5769230769230775
RP,1.155,0.785,1.525,0.179,24.097,-0.5499999999999998,6.5769230769230775
FTI,1.315,0.848,1.782,0.234,69.594,-0.5499999999999998,6.5769230769230775
Miss,1.765,1.116,2.414,0.317,28.175,-0.5499999999999998,7.589743589743589
Hit,1.469,0.8,2.137,0.328,32.416,-0.5499999999999998,7.589743589743589
RP,1.608,0.981,2.234,0.303,23.67,-0.5499999999999998,7.589743589743589
FTI,1.533,0.802,2.264,0.364,48.894,-0.5499999999999998,7.589743589743589
Miss,2.15,1.363,2.937,0.384,28.182,-0.5499999999999998,8.602564102564102
Hit,2.058,1.248,2.869,0.398,32.43,-0.5499999999999998,8.602564102564102
RP,1.988,1.228,2.747,0.368,23.671,-0.5499999999999998,8.602564102564102
FTI,1.688,0.802,2.575,0.441,48.935,-0.5499999999999998,8.602564102564102
Miss,2.389,1.615,3.162,0.378,28.947,-0.5499999999999998,9.615384615384617
Hit,2.334,1.534,3.134,0.393,33.864,-0.5499999999999998,9.615384615384617
RP,2.135,1.392,2.879,0.36,23.778,-0.5499999999999998,9.615384615384617
FTI,1.831,0.948,2.715,0.441,53.278,-0.5499999999999998,9.615384615384617
Miss,2.291,1.671,2.912,0.304,29.808,-0.5499999999999998,10.628205128205126
Hit,2.13,1.486,2.775,0.317,35.497,-0.5499999999999998,10.628205128205126
RP,1.965,1.371,2.558,0.287,23.895,-0.5499999999999998,10.628205128205126
FTI,1.756,1.036,2.475,0.36,58.34,-0.5499999999999998,10.628205128205126
Miss,1.904,1.491,2.317,0.203,31.701,-0.5499999999999998,11.64102564102564
Hit,1.671,1.238,2.103,0.214,39.18,-0.5499999999999998,11.64102564102564
RP,1.578,1.188,1.968,0.189,24.112,-0.5499999999999998,11.64102564102564
FTI,1.471,0.978,1.964,0.247,70.256,-0.5499999999999998,11.64102564102564
Miss,1.465,1.202,1.727,0.129,34.665,-0.5499999999999998,12.653846153846152
Hit,1.217,0.94,1.495,0.138,45.125,-0.5499999999999998,12.653846153846152
RP,1.195,0.952,1.439,0.118,24.407,-0.5499999999999998,12.653846153846152
FTI,1.158,0.832,1.485,0.164,90.652,-0.5499999999999998,12.653846153846152
Miss,1.132,0.938,1.325,0.095,35.768,-0.5499999999999998,13.666666666666664
Hit,0.903,0.697,1.108,0.102,47.354,-0.5499999999999998,13.666666666666664
RP,0.941,0.762,1.119,0.087,24.535,-0.5499999999999998,13.666666666666664
FTI,0.939,0.695,1.183,0.123,98.528,-0.5499999999999998,13.666666666666664
Miss,0.938,0.75,1.126,0.092,33.066,-0.5499999999999998,14.67948717948718
Hit,0.739,0.541,0.937,0.098,41.859,-0.5499999999999998,14.67948717948718
RP,0.809,0.633,0.986,0.086,24.282,-0.5499999999999998,14.67948717948718
FTI,0.823,0.594,1.052,0.115,79.197,-0.5499999999999998,14.67948717948718
Miss,0.847,0.643,1.052,0.1,30.833,-0.5499999999999998,15.692307692307693
Hit,0.68,0.467,0.893,0.105,37.462,-0.5499999999999998,15.692307692307693
RP,0.751,0.556,0.945,0.094,24.031,-0.5499999999999998,15.692307692307693
FTI,0.77,0.529,1.011,0.121,64.58,-0.5499999999999998,15.692307692307693
Miss,0.802,0.583,1.021,0.107,29.384,-0.5499999999999998,16.705128205128204
Hit,0.673,0.446,0.9,0.112,34.675,-0.5499999999999998,16.705128205128204
RP,0.725,0.515,0.935,0.102,23.854,-0.5499999999999998,16.705128205128204
FTI,0.742,0.49,0.994,0.126,55.734,-0.5499999999999998,16.705128205128204
Miss,0.769,0.535,1.002,0.114,28.127,-0.5499999999999998,17.71794871794872
Hit,0.691,0.451,0.931,0.118,32.294,-0.5499999999999998,17.71794871794872
RP,0.711,0.486,0.936,0.109,23.695,-0.5499999999999998,17.71794871794872
FTI,0.713,0.451,0.975,0.13,48.453,-0.5499999999999998,17.71794871794872
Miss,0.743,0.486,1.001,0.126,27.208,-0.5499999999999998,18.73076923076923
Hit,0.723,0.459,0.986,0.129,30.576,-0.5499999999999998,18.73076923076923
RP,0.701,0.451,0.951,0.121,23.578,-0.5499999999999998,18.73076923076923
FTI,0.67,0.386,0.955,0.141,43.365,-0.5499999999999998,18.73076923076923
Miss,0.731,0.429,1.033,0.147,26.751,-0.5499999999999998,19.743589743589748
Hit,0.76,0.451,1.069,0.151,29.727,-0.5499999999999998,19.743589743589748
RP,0.693,0.398,0.988,0.143,23.52,-0.5499999999999998,19.743589743589748
FTI,0.615,0.284,0.945,0.164,40.906,-0.5499999999999998,19.743589743589748
Miss,0.729,0.36,1.098,0.18,26.549,-0.5499999999999998,20.756410256410252
Hit,0.785,0.408,1.162,0.184,29.355,-0.5499999999999998,20.756410256410252
RP,0.69,0.33,1.051,0.174,23.495,-0.5499999999999998,20.756410256410252
FTI,0.562,0.16,0.964,0.199,39.837,-0.5499999999999998,20.756410256410252
Miss,0.727,0.282,1.171,0.216,26.236,-0.5499999999999998,21.76923076923077
Hit,0.784,0.331,1.237,0.221,28.78,-0.5499999999999998,21.76923076923077
RP,0.692,0.258,1.127,0.21,23.454,-0.5499999999999998,21.76923076923077
FTI,0.531,0.05,1.012,0.238,38.208,-0.5499999999999998,21.76923076923077
Miss,0.715,0.208,1.222,0.246,25.772,-0.5499999999999998,22.78205128205128
Hit,0.753,0.238,1.269,0.252,27.933,-0.5499999999999998,22.78205128205128
RP,0.69,0.193,1.188,0.241,23.391,-0.5499999999999998,22.78205128205128
FTI,0.524,-0.019,1.067,0.268,35.847,-0.5499999999999998,22.78205128205128
Miss,0.693,0.156,1.23,0.261,25.359,-0.5499999999999998,23.794871794871803
Hit,0.704,0.159,1.248,0.265,27.185,-0.5499999999999998,23.794871794871803
RP,0.673,0.145,1.201,0.256,23.334,-0.5499999999999998,23.794871794871803
FTI,0.525,-0.045,1.095,0.28,33.796,-0.5499999999999998,23.794871794871803
Miss,0.658,0.132,1.185,0.256,25.117,-0.5499999999999998,24.80769230769231
Hit,0.648,0.115,1.181,0.26,26.747,-0.5499999999999998,24.80769230769231
RP,0.634,0.115,1.152,0.251,23.3,-0.5499999999999998,24.80769230769231
FTI,0.513,-0.042,1.069,0.273,32.611,-0.5499999999999998,24.80769230769231
Miss,0.609,0.129,1.089,0.233,25.017,-0.5499999999999998,25.820512820512818
Hit,0.593,0.107,1.079,0.237,26.569,-0.5499999999999998,25.820512820512818
RP,0.578,0.104,1.051,0.229,23.286,-0.5499999999999998,25.820512820512818
FTI,0.482,-0.023,0.987,0.248,32.133,-0.5499999999999998,25.820512820512818
Miss,0.543,0.131,0.955,0.2,25.011,-0.5499999999999998,26.83333333333333
Hit,0.537,0.12,0.954,0.203,26.558,-0.5499999999999998,26.83333333333333
RP,0.513,0.107,0.919,0.197,23.286,-0.5499999999999998,26.83333333333333
FTI,0.435,0.002,0.869,0.213,32.102,-0.5499999999999998,26.83333333333333
Miss,0.466,0.127,0.804,0.164,25.101,-0.5499999999999998,27.84615384615385
Hit,0.476,0.133,0.819,0.167,26.72,-0.5499999999999998,27.84615384615385
RP,0.449,0.115,0.782,0.161,23.298,-0.5499999999999998,27.84615384615385
FTI,0.383,0.026,0.74,0.175,32.538,-0.5499999999999998,27.84615384615385
Miss,0.386,0.116,0.657,0.131,25.297,-0.5499999999999998,28.85897435897436
Hit,0.412,0.138,0.686,0.134,27.073,-0.5499999999999998,28.85897435897436
RP,0.387,0.121,0.653,0.129,23.325,-0.5499999999999998,28.85897435897436
FTI,0.328,0.042,0.614,0.141,33.492,-0.5499999999999998,28.85897435897436
Miss,0.315,0.104,0.527,0.103,25.586,-0.5499999999999998,29.871794871794872
Hit,0.348,0.133,0.563,0.105,27.595,-0.5499999999999998,29.871794871794872
RP,0.329,0.121,0.537,0.101,23.365,-0.5499999999999998,29.871794871794872
FTI,0.272,0.047,0.498,0.111,34.916,-0.5499999999999998,29.871794871794872
Miss,0.256,0.092,0.42,0.08,25.99,-0.5499999999999998,30.884615384615387
Hit,0.289,0.122,0.456,0.081,28.33,-0.5499999999999998,30.884615384615387
RP,0.273,0.113,0.434,0.078,23.42,-0.5499999999999998,30.884615384615387
FTI,0.22,0.043,0.396,0.087,36.947,-0.5499999999999998,30.884615384615387
Miss,0.208,0.082,0.334,0.061,26.479,-0.5499999999999998,31.897435897435894
Hit,0.235,0.107,0.364,0.063,29.226,-0.5499999999999998,31.897435897435894
RP,0.221,0.098,0.344,0.059,23.487,-0.5499999999999998,31.897435897435894
FTI,0.174,0.037,0.311,0.068,39.468,-0.5499999999999998,31.897435897435894
Miss,0.167,0.072,0.262,0.046,26.849,-0.5499999999999998,32.91025641025641
Hit,0.185,0.088,0.283,0.048,29.906,-0.5499999999999998,32.91025641025641
RP,0.173,0.08,0.266,0.045,23.536,-0.5499999999999998,32.91025641025641
FTI,0.137,0.033,0.242,0.052,41.411,-0.5499999999999998,32.91025641025641
Miss,0.131,0.06,0.201,0.035,26.913,-0.5499999999999998,33.92307692307692
Hit,0.139,0.066,0.211,0.036,30.025,-0.5499999999999998,33.92307692307692
RP,0.131,0.062,0.2,0.033,23.544,-0.5499999999999998,33.92307692307692
FTI,0.109,0.031,0.187,0.039,41.756,-0.5499999999999998,33.92307692307692
Miss,0.098,0.047,0.149,0.025,26.754,-0.5499999999999998,34.93589743589744
Hit,0.097,0.044,0.149,0.026,29.732,-0.5499999999999998,34.93589743589744
RP,0.096,0.046,0.146,0.024,23.521,-0.5499999999999998,34.93589743589744
FTI,0.085,0.029,0.141,0.028,40.917,-0.5499999999999998,34.93589743589744
Miss,0.071,0.035,0.107,0.018,26.622,-0.5499999999999998,35.94871794871795
Hit,0.063,0.026,0.099,0.018,29.49,-0.5499999999999998,35.94871794871795
RP,0.069,0.033,0.104,0.017,23.503,-0.5499999999999998,35.94871794871795
FTI,0.065,0.026,0.104,0.019,40.224,-0.5499999999999998,35.94871794871795
Miss,0.049,0.024,0.074,0.012,26.721,-0.5499999999999998,36.96153846153846
Hit,0.038,0.013,0.063,0.012,29.673,-0.5499999999999998,36.96153846153846
RP,0.047,0.023,0.071,0.012,23.516,-0.5499999999999998,36.96153846153846
FTI,0.047,0.021,0.074,0.013,40.75,-0.5499999999999998,36.96153846153846
Miss,0.033,0.016,0.049,0.008,27.111,-0.5499999999999998,37.97435897435897
Hit,0.023,0.006,0.039,0.008,30.393,-0.5499999999999998,37.97435897435897
