condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
FTI,1.393,0.652,2.133,0.366,40.3,-1.95,1.5128205128205128
Miss,0.803,0.21,1.397,0.29,28.471,-1.95,2.525641025641025
Hit,0.917,0.306,1.529,0.301,32.939,-1.95,2.525641025641025
RP,0.866,0.295,1.438,0.277,23.741,-1.95,2.525641025641025
FTI,1.175,0.504,1.846,0.334,50.394,-1.95,2.525641025641025
Miss,0.866,0.438,1.294,0.21,32.608,-1.95,3.5384615384615383
Hit,0.873,0.423,1.322,0.223,40.915,-1.95,3.5384615384615383
RP,0.793,0.39,1.195,0.195,24.26,-1.95,3.5384615384615383
FTI,1.267,0.75,1.785,0.26,75.912,-1.95,3.5384615384615383
Miss,0.91,0.577,1.244,0.164,33.065,-1.95,4.55128205128205
Hit,0.886,0.535,1.236,0.174,41.827,-1.95,4.55128205128205
RP,0.83,0.518,1.143,0.152,24.307,-1.95,4.55128205128205
FTI,1.231,0.825,1.636,0.204,79.009,-1.95,4.55128205128205
Miss,0.975,0.661,1.289,0.154,32.143,-1.95,5.564102564102564
Hit,0.977,0.648,1.306,0.163,40.025,-1.95,5.564102564102564
RP,0.959,0.663,1.254,0.143,24.184,-1.95,5.564102564102564
FTI,1.148,0.771,1.525,0.189,72.999,-1.95,5.564102564102564
Miss,1.261,0.779,1.744,0.237,31.146,-1.95,6.5769230769230775
Hit,1.167,0.663,1.671,0.249,38.098,-1.95,6.5769230769230775
RP,1.286,0.829,1.744,0.222,24.044,-1.95,6.5769230769230775
FTI,1.401,0.829,1.972,0.286,66.716,-1.95,6.5769230769230775
Miss,1.666,0.947,2.385,0.352,29.799,-1.95,7.589743589743589
Hit,1.425,0.679,2.171,0.368,35.509,-1.95,7.589743589743589
RP,1.728,1.041,2.415,0.333,23.867,-1.95,7.589743589743589
FTI,2.017,1.183,2.851,0.417,58.448,-1.95,7.589743589743589
Miss,2.036,1.228,2.843,0.395,29.036,-1.95,8.602564102564102
Hit,1.799,0.963,2.634,0.411,34.059,-1.95,8.602564102564102
RP,2.081,1.305,2.856,0.376,23.764,-1.95,8.602564102564102
FTI,2.753,1.829,3.678,0.461,53.943,-1.95,8.602564102564102
Miss,2.309,1.514,3.104,0.389,29.952,-1.95,9.615384615384617
Hit,2.105,1.279,2.931,0.407,35.814,-1.95,9.615384615384617
RP,2.279,1.52,3.039,0.368,23.875,-1.95,9.615384615384617
FTI,3.164,2.24,4.089,0.462,59.441,-1.95,9.615384615384617
Miss,2.273,1.603,2.943,0.329,31.654,-1.95,10.628205128205126
Hit,2.121,1.42,2.822,0.346,39.111,-1.95,10.628205128205126
RP,2.201,1.568,2.834,0.307,24.086,-1.95,10.628205128205126
FTI,3.012,2.212,3.812,0.401,70.088,-1.95,10.628205128205126
Miss,1.93,1.447,2.412,0.237,34.523,-1.95,11.64102564102564
Hit,1.86,1.349,2.37,0.253,44.812,-1.95,11.64102564102564
RP,1.876,1.428,2.325,0.218,24.414,-1.95,11.64102564102564
FTI,2.479,1.88,3.077,0.301,89.482,-1.95,11.64102564102564
Miss,1.516,1.183,1.85,0.165,38.21,-1.95,12.653846153846152
Hit,1.493,1.136,1.851,0.178,52.371,-1.95,12.653846153846152
RP,1.489,1.184,1.793,0.148,24.802,-1.95,12.653846153846152
FTI,1.877,1.445,2.308,0.218,116.787,-1.95,12.653846153846152
Miss,1.21,0.95,1.47,0.129,38.936,-1.95,13.666666666666664
Hit,1.185,0.905,1.465,0.139,53.834,-1.95,13.666666666666664
RP,1.181,0.944,1.417,0.115,24.915,-1.95,13.666666666666664
FTI,1.414,1.075,1.753,0.171,122.095,-1.95,13.666666666666664
Miss,1.046,0.787,1.304,0.127,34.872,-1.95,14.67948717948718
Hit,0.996,0.722,1.27,0.136,45.431,-1.95,14.67948717948718
RP,0.992,0.752,1.232,0.116,24.523,-1.95,14.67948717948718
FTI,1.129,0.807,1.451,0.162,91.418,-1.95,14.67948717948718
Miss,0.988,0.707,1.269,0.138,32.996,-1.95,15.692307692307693
Hit,0.89,0.594,1.185,0.146,41.667,-1.95,15.692307692307693
RP,0.897,0.633,1.161,0.128,24.32,-1.95,15.692307692307693
FTI,0.968,0.626,1.309,0.172,78.403,-1.95,15.692307692307693
Miss,0.984,0.688,1.281,0.146,34.391,-1.95,16.705128205128204
Hit,0.813,0.499,1.127,0.156,44.435,-1.95,16.705128205128204
RP,0.849,0.573,1.126,0.134,24.492,-1.95,16.705128205128204
FTI,0.876,0.509,1.244,0.185,87.86,-1.95,16.705128205128204
Miss,0.99,0.68,1.301,0.153,37.083,-1.95,17.71794871794872
Hit,0.747,0.416,1.079,0.165,49.883,-1.95,17.71794871794872
RP,0.819,0.534,1.104,0.138,24.806,-1.95,17.71794871794872
FTI,0.833,0.437,1.23,0.2,107.188,-1.95,17.71794871794872
Miss,0.984,0.653,1.315,0.163,37.852,-1.95,18.73076923076923
Hit,0.699,0.344,1.053,0.177,51.466,-1.95,18.73076923076923
RP,0.793,0.49,1.096,0.147,24.891,-1.95,18.73076923076923
FTI,0.828,0.402,1.254,0.215,112.965,-1.95,18.73076923076923
Miss,0.967,0.607,1.327,0.177,35.951,-1.95,19.743589743589748
Hit,0.669,0.286,1.052,0.19,47.584,-1.95,19.743589743589748
RP,0.77,0.437,1.102,0.161,24.671,-1.95,19.743589743589748
FTI,0.845,0.391,1.299,0.229,98.944,-1.95,19.743589743589748
Miss,0.952,0.559,1.346,0.194,33.563,-1.95,20.756410256410252
Hit,0.654,0.239,1.069,0.206,42.789,-1.95,20.756410256410252
RP,0.745,0.377,1.114,0.179,24.389,-1.95,20.756410256410252
FTI,0.861,0.379,1.343,0.242,82.212,-1.95,20.756410256410252
Miss,0.947,0.519,1.374,0.21,32.042,-1.95,21.76923076923077
Hit,0.643,0.195,1.09,0.222,39.789,-1.95,21.76923076923077
RP,0.718,0.314,1.121,0.196,24.205,-1.95,21.76923076923077
FTI,0.857,0.345,1.37,0.257,72.117,-1.95,21.76923076923077
Miss,0.942,0.486,1.397,0.223,31.304,-1.95,22.78205128205128
Hit,0.627,0.151,1.102,0.235,38.347,-1.95,22.78205128205128
RP,0.688,0.256,1.119,0.209,24.114,-1.95,22.78205128205128
FTI,0.828,0.287,1.368,0.271,67.38,-1.95,22.78205128205128
Miss,0.92,0.45,1.39,0.23,30.884,-1.95,23.794871794871803
Hit,0.603,0.113,1.093,0.242,37.533,-1.95,23.794871794871803
RP,0.657,0.211,1.104,0.216,24.062,-1.95,23.794871794871803
FTI,0.778,0.224,1.332,0.277,64.739,-1.95,23.794871794871803
Miss,0.866,0.403,1.329,0.227,30.598,-1.95,24.80769230769231
Hit,0.573,0.091,1.055,0.238,36.98,-1.95,24.80769230769231
RP,0.628,0.187,1.069,0.214,24.027,-1.95,24.80769230769231
FTI,0.716,0.173,1.259,0.272,62.961,-1.95,24.80769230769231
Miss,0.779,0.344,1.215,0.214,31.571,-1.95,25.820512820512818
Hit,0.542,0.086,0.998,0.225,38.864,-1.95,25.820512820512818
RP,0.598,0.186,1.01,0.2,24.15,-1.95,25.820512820512818
FTI,0.646,0.127,1.165,0.26,69.06,-1.95,25.820512820512818
Miss,0.674,0.271,1.077,0.199,37.94,-1.95,26.83333333333333
Hit,0.508,0.076,0.94,0.215,51.614,-1.95,26.83333333333333
RP,0.566,0.197,0.935,0.179,24.926,-1.95,26.83333333333333
FTI,0.57,0.051,1.089,0.262,113.417,-1.95,26.83333333333333
Miss,0.571,0.189,0.953,0.191,56.481,-1.95,27.84615384615385
